,abstract,original title,best title,generated title before RL,generated title after RL
40,"Tree Adjoining Grammars have well-known advantages, but are typically considered too difficult for practical systems. We demonstrate that, when done right, adjoining improves translation quality without becoming computationally intractable. Using adjoining to model optionality allows general translation patterns to be learned without the clutter of endless variations of optional material. The appropriate modifiers can later be spliced in as needed. In this paper, we describe a novel method for learning a type of Synchronous Tree Adjoining Grammar and associated probabilities from aligned tree/string training data. We introduce a method of converting these grammars to a weakly equivalent tree transducer for decoding. Finally, we show that adjoining results in an end-to-end improvement of +0.8 BLEU over a baseline statistical syntax-based MTmodel on a large-scale Arabic/EnglishMT task.",Synchronous Tree Adjoining Machine Translation,Learning Synchronous Tree Adjoining Grammars for Statistical Machine Translation,Learning Synchronous Tree Adjoining Grammars for Statistical Machine Translation,Learning Tree Adjoining Grammars for Statistical MT
41,"Compositional embedding models build a representation for a linguistic structure based on its component word embeddings. While recent work has combined these word embeddings with hand crafted features for improved performance, it was restricted to a small number of features due to model complexity, thus limiting its applicability. We propose a new model that conjoins features and word embeddings while maintaing a small number of parameters by learning feature embeddings jointly with the parameters of a compositional model. The result is a method that can scale to more features and more labels, while avoiding overfitting. We demonstrate that our model attains state-of-the-art results on ACE and ERE fine-grained relation extraction.",Combining Word Embeddings and Feature Embeddings for Fine-grained Relation Extraction,Joint Learning of Feature Embeddings and Word Embeddings for Fine-grained Relation Extraction,Learning Feature Embeddings for Compositional Embedding Models,Learning Feature Embeddings for Compositional Embedding Models
42,"We present a method for recognizing semantic role arguments using a kernel on weighted marked ordered labeled trees (the WMOLT kernel). We extend the kernels on marked ordered labeled trees (Kazama and Torisawa, 2005) so that the mark can be weighted according to its importance. We improve the accuracy by giving more weights on subtrees that contain the predicate and the argument nodes with this ability. Although Kazama and Torisawa (2005) presented fast training with tree kernels, the slow classification during runtime remained to be solved. In this paper, we give a solution that uses an efficient DP updating procedure applicable in argument recognition. We demonstrate that the WMOLT kernel improves the accuracy, and our speed-up method makes the recognition more than 40 times faster than the naive classification.",Semantic Role Recognition Using Kernels on Weighted Marked Ordered Labeled Trees,Semantic Role Recognition Using Kernels on Weighted Marked Ordered Labeled Trees,Fast Semantic Role Argument Recognition with Weighted Kernel on Weighted Marked Ordered Trees,WMOLT: Fast Semantic Role Argument Recognition on Weighted Marked Ordered Trees
43,"Parsing sentences to linguistically-expressive semantic representations is a key goal of Natural Language Processing. Yet statistical parsing has focussed almost exclusively on bilexical dependencies or domain-specific logical forms. We propose a neural encoder-decoder transition-based parser which is the first full-coverage semantic graph parser for Minimal Recursion Semantics (MRS). The model architecture uses stack-based embedding features, predicting graphs jointly with unlexicalized predicates and their token alignments. Our parser is more accurate than attention-based baselines on MRS, and on an additional Abstract Meaning Representation (AMR) benchmark, and GPU batch processing makes it an order of magnitude faster than a high-precision grammar-based parser. Further, the 86.69% Smatch score of our MRS parser is higher than the upper-bound on AMR parsing, making MRS an attractive choice as a semantic representation.",Robust Incremental Neural Semantic Graph Parsing,Full-coverage Semantic Graph Parsing for Minimal Recursion Semantics,A Neural Transition-based Parser for Minimal Recursion Semantics,A Neural Transition-Based Parser for Minimal-Recursion Semantics
44,"We describe the Iraq Body Count Corpus (IBC-C) dataset, the first substantial armed conflict-related dataset which can be used for conflict analysis. IBCC provides a ground-truth dataset for conflict specific named entity recognition, slot filling, and event de-duplication. IBCC is constructed using data collected by the Iraq Body Count project which has been recording incidents from the ongoing war in Iraq since 2003. We describe the dataset’s creation, how it can be used for the above three tasks and provide initial baseline results for the first task (named entity recognition) using Hidden Markov Models, Conditional Random Fields, and Recursive Neural Networks.",IBC-C: A Dataset for Armed Conflict Analysis,Iraq Body Count Corpus: A Ground-truth Dataset for Conflict Analysis and Named Entity Recognition,Iraq Body Count Corpus: A Ground-truth Dataset for Conflict Analysis,Iraqi Body Count Corpus: A Ground Truth Dataset for Conflict Analysis
45,"We derive upper bounds on the generalization error of a learning algorithm in terms of the mutual information between its input and output. The bounds provide an information-theoretic understanding of generalization in learning problems, and give theoretical guidelines for striking the right balance between data fit and generalization by controlling the input-output mutual information. We propose a number of methods for this purpose, among which are algorithms that regularize the ERM algorithm with relative entropy or with random noise. Our work extends and leads to nontrivial improvements on the recent results of Russo and Zou.",Bregman Alternating Direction Method of Multipliers,Generalization Error Bounds on the Input-Output Mutual Information,Generalization Error Bounds for Learning Algorithms,Generalization Error Bounds for Learning Algorithms with Relative Entropy and Random Noise
46,"E cient exploration remains a major challenge for reinforcement learning (RL). Common dithering strategies for exploration, such as ‘-greedy, do not carry out temporally-extended (or deep) exploration; this can lead to exponentially larger data requirements. However, most algorithms for statistically e cient RL are not computationally tractable in complex environments. Randomized value functions o er a promising approach to e cient exploration with generalization, but existing algorithms are not compatible with nonlinearly parameterized value functions. As a first step towards addressing such contexts we develop bootstrapped DQN. We demonstrate that bootstrapped DQN can combine deep exploration with deep neural networks for exponentially faster learning than any dithering strategy. In the Arcade Learning Environment bootstrapped DQN substantially improves learning speed and cumulative performance across most games.",Deep Exploration via Bootstrapped DQN,Bootstrapped DQN for Exponentally Faster Reinforcement Learning,Bootstrapped Deep Exploration with Nonlinearly Parameterized Value Functions,Bootstrapped Deep Exploration
47,"Methods for name matching, an important component to support downstream tasks such as entity linking and entity clustering, have focused on alphabetic languages, primarily English. In contrast, logogram languages such as Chinese remain untested. We evaluate methods for name matching in Chinese, including both string matching and learning approaches. Our approach, based on new representations for Chinese, improves both name matching and a downstream entity clustering task.",An Empirical Study of Chinese Name Matching and Applications,Name Matching in Logogram Languages: A Case Study on Chinese,Name Matching in Chinese,Chinese Name Matching for Logogram Language Tasks
48,"Neural language models are a critical component of state-of-the-art systems for machine translation, summarization, audio transcription, and other tasks. These language models are almost universally autoregressive in nature, generating sentences one token at a time from left to right. This paper studies the influence of token generation order on model quality via a novel two-pass language model that produces partially-filled sentence ""templates"" and then fills in missing tokens. We compare various strategies for structuring these two passes and observe a surprisingly large variation in model quality. We find the most effective strategy generates function words in the first pass followed by content words in the second. We believe these experimental results justify a more extensive investigation of the generation order for neural language models.",The Importance of Generation Order in Language Modeling,The Effect of Token Generation Order on Neural Language Models,Generation Order for Neural Language Models,Generating Templates in Neural Language Models: A Two-Pass Approach
49,"Political identity is often manifested in language variation, but the relationship between the two is still relatively unexplored from a quantitative perspective. This study examines the use of Catalan, a language local to the semi-autonomous region of Catalonia in Spain, on Twitter in discourse related to the 2017 independence referendum. We corroborate prior findings that pro-independence tweets are more likely to include the local language than anti-independence tweets. We also find that Catalan is used more often in referendum-related discourse than in other contexts, contrary to prior findings on language variation. This suggests a strong role for the Catalan language in the expression of Catalonian political identity.","Si O No, Que Penses? Catalonian Independence and Linguistic Identity on Social Media","Si O No, Que Penses? Catalonian Independence and Linguistic Identity on Social Media",Catalan Language and Political Identity in Twitter Discourse,Catalonia: The Role of the Catalan Language in the Expression of Catalonian Political Identity on Twitter
50,"Traditionally, Referring Expression Generation (REG) models first decide on the form and then on the content of references to discourse entities in text, typically relying on features such as salience and grammatical function. In this paper, we present a new approach (NeuralREG), relying on deep neural networks, which makes decisions about form and content in one go without explicit feature extraction. Using a delexicalized version of the WebNLG corpus, we show that the neural model substantially improves over two strong baselines.",NeuralREG: An end-to-end approach to referring expression generation,NeuralREG: An end-to-end approach to referring expression generation,NeuralREG: Neural Referring Expression Generation,Neural Referring Expression Generation
51,"Developing natural language processing tools for low-resource languages often requires creating resources from scratch. While a variety of semi-supervised methods exist for training from incomplete data, there are open questions regarding what types of training data should be used and how much is necessary. We discuss a series of experiments designed to shed light on such questions in the context of part-of-speech tagging. We obtain timed annotations from linguists for the low-resource languages Kinyarwanda and Malagasy (as well as English) and evaluate how the amounts of various kinds of data affect performance of a trained POS-tagger. Our results show that annotation of word types is the most important, provided a sufficiently capable semi-supervised learning infrastructure is in place to project type information onto a raw corpus. We also show that finitestate morphological analyzers are effective sources of type information when few labeled examples are available.",Real-World Semi-Supervised Learning of POS-Taggers for Low-Resource Languages,Real-World Semi-Supervised Learning of POS-Taggers for Low-Resource Languages,What's in a Name? What's in an Annotation? A Study of Semi-Supervised Learning for Low-Resource Languages,What's in a Name? A Comparison of Semi-Supervised Learning and Annotation Methods for Low-Resource Part-of-
52,"Sentiment lexicons have been leveraged as a useful source of features for sentiment analysis models, leading to the state-of-the-art accuracies. On the other hand, most existing methods use sentiment lexicons without considering context, typically taking the count, sum of strength, or maximum sentiment scores over the whole input. We propose a context-sensitive lexicon-based method based on a simple weighted-sum model, using a recurrent neural network to learn the sentiments strength, intensification and negation of lexicon sentiments in composing the sentiment value of sentences. Results show that our model can not only learn such operation details, but also give significant improvements over state-of-the-art recurrent neural network baselines without lexical features, achieving the best results on a Twitter benchmark.",Context-Sensitive Lexicon Features for Neural Sentiment Analysis,Context-Sensitive Lexicon Features for Neural Sentiment Analysis,Learning Lexical Features for Context-sensitive Sentiment Analysis,Learning Lexicon-Based Sentiment Lexicons for Context-Sensitive Neural Sentiment Analysis
53,"Transfer and multi-task learning have traditionally focused on either a single source-target pair or very few, similar tasks. Ideally, the linguistic levels of morphology, syntax and semantics would benefit each other by being trained in a single model. We introduce a joint many-task model together with a strategy for successively growing its depth to solve increasingly complex tasks. Higher layers include shortcut connections to lower-level task predictions to reflect linguistic hierarchies. We use a simple regularization term to allow for optimizing all model weights to improve one task's loss without exhibiting catastrophic interference of the other tasks. Our single end-to-end model obtains state-of-the-art or competitive results on five different tasks from tagging, parsing, relatedness, and entailment tasks.",A Joint Many-Task Model: Growing a Neural Network for Multiple NLP Tasks,A Joint Many-Task Model: Growing a Neural Network for Multiple NLP Tasks,Joint Many-Task Learning for Multi-Task Prediction,Joint Many-Task Learning with Hierarchical Structural Representations
54,"Word segmentation is usually recognized as the first step for many Chinese natural language processing tasks, yet its impact on these subsequent tasks is relatively under-studied. For example, how to solve the mismatch problem when applying an existing word segmenter to new data? Does a better word segmenter yield a better subsequent NLP task performance? In this work, we conduct an initial attempt to answer these questions on two related subsequent tasks: semantic slot filling in spoken language understanding and named entity recognition. We propose three techniques to solve the mismatch problem: using word segmentation outputs as additional features, adaptation with partial-learning and taking advantage of n-best word segmentation list. Experimental results demonstrate the effectiveness of these techniques for both tasks and we achieve an error reduction of about 11% for spoken language understanding and 24% for named entity recognition over the baseline systems.",An Empirical Study of Automatic Chinese Word Segmentation for Spoken Language Understanding and Named Entity Recognition,An Empirical Study of Automatic Chinese Word Segmentation for Spoken Language Understanding and Named Entity Recognition,Solving the Mismatch Problem in Word Segmentation for Spoken Language Understanding and Named Entity Recognition,Solving the Mismatch Problem in Word Segmentation for NLP Tasks with Multiple Inputs
55,"Transfer learning has been used in opinion analysis to make use of available language resources for other resource scarce languages. However, the cumulative class noise in transfer learning adversely affects performance when more training data is used. In this paper, we propose a novel method in transductive transfer learning to identify noises through the detection of negative transfers. Evaluation on NLP&CC 2013 cross-lingual opinion analysis dataset shows that our approach outperforms the state-of-the-art systems. More significantly, our system shows a monotonic increase trend in performance improvement when more training data are used.",Cross-lingual Opinion Analysis via Negative Transfer Detection,Detecting Negative Transfer Effects in Transductive Transfer Learning.,Identifying Noisy Transfer Learning in Transductive Transfer Learning for Cross-lingual Opinion Analysis,Identifying Noise in Transfer Learning for Cross-lingual Opinion Analysis
56,"We define the problem of recognizing entailed relations – given an open set of relations, find all occurrences of the relations of interest in a given document set – and pose it as a challenge to scalable information extraction and retrieval. Existing approaches to relation recognition do not address well problems with an open set of relations and a need for high recall: supervised methods are not easily scaled, while unsupervised and semi-supervised methods address a limited aspect of the problem, as they are restricted to frequent, explicit, highly localized patterns. We argue that textual entailment (TE) is necessary to solve such problems, propose a scalable TE architecture, and provide preliminary results on an Entailed Relation Recognition task.",A Framework for Entailed Relation Recognition,Relation Recognition with Textual Entailment: A Scalable Approach,Textual Entailment for Relation Recognition,Textual Entailment for Relation Recognition
57,"Aspect term extraction aims to extract aspect terms from review texts as opinion targets for sentiment analysis. One of the big challenges with this task is the lack of sufficient annotated data. While data augmentation is potentially an effective technique to address the above issue, it is uncontrollable as it may change aspect words and aspect labels unexpectedly. In this paper, we formulate the data augmentation as a conditional generation task: generating a new sentence while preserving the original opinion targets and labels. We propose a masked sequence-to-sequence method for conditional augmentation of aspect term extraction. Unlike existing augmentation approaches, ours is controllable and allows to generate more diversified sentences. Experimental results confirm that our method alleviates the data scarcity problem significantly. It also effectively boosts the performances of several current models for aspect term extraction.",Conditional Augmentation for Aspect Term Extraction via Masked Sequence-to-Sequence Generation,Conditional Augmentation for Aspect Term Extraction via Masked Sequence-to-Sequence Generation,Conditional Augmentation of Aspect Term Extraction with Conditional Generation,Conditional Augmentation for Aspect Term Extraction
58,"Spoken monologues feature greater sentence length and structural complexity than do spoken dialogues. To achieve high parsing performance for spoken monologues, it could prove effective to simplify the structure by dividing a sentence into suitable language units. This paper proposes a method for dependency parsing of Japanese monologues based on sentence segmentation. In this method, the dependency parsing is executed in two stages: at the clause level and the sentence level. First, the dependencies within a clause are identified by dividing a sentence into clauses and executing stochastic dependency parsing for each clause. Next, the dependencies over clause boundaries are identified stochastically, and the dependency structure of the entire sentence is thus completed. An experiment using a spoken monologue corpus shows this method to be effective for efficient dependency parsing of Japanese monologue sentences.",Dependency Parsing of Japanese Spoken Monologue Based on Clause Boundaries,Dependency Parsing of Japanese Spoken Monologues Based on Sentence Segmentation,Sentence Segmentation for Dependency Parsing of Japanese Monologues,Sentence Segmentation for Dependency Parsing of Japanese Monologues
59,"We address the task of Named Entity Disambiguation (NED) for noisy text. We present WikilinksNED, a large-scale NED dataset of text fragments from the web, which is significantly noisier and more challenging than existing news-based datasets. To capture the limited and noisy local context surrounding each mention, we design a neural model and train it with a novel method for sampling informative negative examples. We also describe a new way of initializing word and entity embeddings that significantly improves performance. Our model significantly outperforms existing state-of-the-art methods on WikilinksNED while achieving comparable performance on a smaller newswire dataset.",Named Entity Disambiguation for Noisy Text,WikilinksNED: A Large-Scale Named Entity Disambiguation Dataset,WikilinksNED: Noisy Named Entity Disambiguation for Noisy Text,WikilinksNED: Noisy Named Entity Disambiguation
60,"In neural abstractive summarization, the conventional sequence-to-sequence (seq2seq) model often suffers from repetition and semantic irrelevance. To tackle the problem, we propose a global encoding framework, which controls the information flow from the encoder to the decoder based on the global information of the source context. It consists of a convolutional gated unit to perform global encoding to improve the representations of the source-side information. Evaluations on the LCSTS and the English Gigaword both demonstrate that our model outperforms the baseline models, and the analysis shows that our model is capable of generating summary of higher quality and reducing repetition.",Global Encoding for Abstractive Summarization, Global Encoding for Neural Abstractive Summarization,Global Encoding for Neural Abstractive Summarization,Global Encoding for Neural Abstractive Summarization
61,"The ability to consolidate information of different types is at the core of intelligence, and has tremendous practical value in allowing learning for one task to benefit from generalizations learned for others. In this paper we tackle the challenging task of improving semantic parsing performance, taking UCCA parsing as a test case, and AMR, SDP and Universal Dependencies (UD) parsing as auxiliary tasks. We experiment on three languages, using a uniform transition-based system and learning architecture for all parsing tasks. Despite notable conceptual, formal and domain differences, we show that multitask learning significantly improves UCCA parsing in both in-domain and out-of-domain settings.",Multitask Parsing Across Semantic Representations,Multitask Parsing Across Semantic Representations,Multitask Learning for Semantic Parsing,Multitask Learning for Semantic Parsing
62,"Polysemy is a major characteristic of natural languages. Like words, syntactic forms can have several meanings. Understanding the correct meaning of a syntactic form is of great importance to many NLP applications. In this paper we address an important type of syntactic polysemy – the multiple possible senses of tense syntactic forms. We make our discussion concrete by introducing the task of Tense Sense Disambiguation (TSD): given a concrete tense syntactic form present in a sentence, select its appropriate sense among a set of possible senses. Using English grammar textbooks, we compiled a syntactic sense dictionary comprising common tense syntactic forms and semantic senses for each. We annotated thousands of BNC sentences using the defined senses. We describe a supervised TSD algorithm trained on these annotations, which outperforms a strong baseline for the task.",Tense Sense Disambiguation: A New Syntactic Polysemy Task,Tense Sense Disambiguation: An Important Syntactic Polysemy Dictionary Based on Grammar and Semantic Senses,Tense Sense Disambiguation: A Unified Approach to Multiple Senses of Tense Syntactic Forms,Tense Sense Disambiguation: A Case Study on BNC Text
63,"Sentence compression techniques often assemble output sentences using fragments of lexical sequences such as ngrams or units of syntactic structure such as edges from a dependency tree representation. We present a novel approach for discriminative sentence compression that unifies these notions and jointly produces sequential and syntactic representations for output text, leveraging a compact integer linear programming formulation to maintain structural integrity. Our supervised models permit rich features over heterogeneous linguistic structures and generalize over previous state-of-theart approaches. Experiments on corpora featuring human-generated compressions demonstrate a 13-15% relative gain in 4gram accuracy over a well-studied language model-based compression system.",Sentence Compression with Joint Structural Inference, Discriminative Sentence Compression with Compact Integer Linear Programming,Discriminative Sentence Compression with Sequential and Syntactic Representations,Joint Representation of Lexical and Syntactic Structures for Discriminative Sentence Compression
64,"Fast alignment is essential for many natural language tasks. But in the setting of monolingual alignment, previous work has not been able to align more than one sentence pair per second. We describe a discriminatively trained monolingual word aligner that uses a Conditional Random Field to globally decode the best alignment with features drawn from source and target sentences. Using just part-of-speech tags and WordNet as external resources, our aligner gives state-of-the-art result, while being an order-of-magnitude faster than the previous best performing system.",A Lightweight and High Performance Monolingual Word Aligner,Fast Monolingual Word Alignment using Conditional Random Fields.,Fast Monolingual Word Alignment with Conditional Random Fields,Fast Monolingual Word Alignment with Conditional Random Fields
65,"We introduce XMEANT—a new cross-lingual version of the semantic frame based MT evaluation metric MEANT—which can correlate even more closely with human adequacy judgments than monolingual MEANT and eliminates the need for expensive human references. Previous work established that MEANT reflects translation adequacy with state-of-the-art accuracy, and optimizing MT systems against MEANT robustly improves translation quality. However, to go beyond tuning weights in the loglinear SMT model, a cross-lingual objective function that can deeply integrate semantic frame criteria into the MT training pipeline is needed. We show that cross-lingual XMEANT outperforms monolingual MEANT by (1) replacing the monolingual context vector model in MEANT with simple translation probabilities, and (2) incorporating bracketing ITG con-",XMEANT: Better semantic MT evaluation without reference translations,XMEANT: Better semantic MT evaluation without reference translations,XMEANT: Cross-lingual MT Evaluation Metric Based on Semantic Frame Criteria,XMEANT: Cross-lingual MT Evaluation Metric for Semantic Frame-Based MT
66,"Pre-trained text encoders have rapidly advanced the state of the art on many NLP tasks. We focus on one such model, BERT, and aim to quantify where linguistic information is captured within the network. We find that the model represents the steps of the traditional NLP pipeline in an interpretable and localizable way, and that the regions responsible for each step appear in the expected sequence: POS tagging, parsing, NER, semantic roles, then coreference. Qualitative analysis reveals that the model can and often does adjust this pipeline dynamically, revising lower-level decisions on the basis of disambiguating information from higher-level representations.",BERT Rediscovers the Classical NLP Pipeline,BERT: Where and When Are We Near the End of NLP?,Where is the Language in BERT? A Qualitative Analysis of a Neural Network for Text Classification,Where Does Linguistic Information Flow in a Neural Network?
67,"Reinforcement learning (RL) has been widely used to aid training in language generation. This is achieved by enhancing standard maximum likelihood objectives with userspecified reward functions that encourage global semantic consistency. We propose a principled approach to address the difficulties associated with RL-based solutions, namely, highvariance gradients, uninformative rewards and brittle training. By leveraging the optimal transport distance, we introduce a regularizer that significantly alleviates the above issues. Our formulation emphasizes the preservation of semantic features, enabling end-to-end training instead of ad-hoc fine-tuning, and when combined with RL, it controls the exploration space for more efficient model updates. To validate the effectiveness of the proposed solution, we perform a comprehensive evaluation covering a wide variety of NLP tasks: machine translation, abstractive text summarization and image caption, with consistent improvements over competing",Sequence Generation with Optimal-Transport-Enhanced Reinforcement Learning,Reinforcement Learning for Natural Language Processing with Optimal Transport,End-to-End Training of Language Generation with Userspecified Reward Functions,Optimal Transport-Based Reinforcement Learning for Language Generation
68,"We present a lexicon-based approach to extracting sentiment from text. The Semantic Orientation CALculator (SO-CAL) uses dictionaries of words annotated with their semantic orientation (polarity and strength), and incorporates intensification and negation. SO-CAL is applied to the polarity classification task, the process of assigning a positive or negative label to a text that captures the text’s opinion towards its main subject matter. We show that SO-CAL’s performance is consistent across domains and on completely unseen data. Additionally, we describe the process of dictionary creation, and our use of Mechanical Turk to check dictionaries for consistency and reliability.",Lexicon-Based Methods for Sentiment Analysis,Semantic Orientation CALculator: A Lexicon-Based Approach to Extracting Sentiment from Text,Sentiment Extraction from Text using Semantic Orientation Dictionaries,A Lexicon-Based Approach to Sentiment Classification with Semantic Orientation
69,"Performance of machine learning algorithms depends critically on identifying a good set of hyperparameters. While recent approaches use Bayesian Optimization to adaptively select configurations, we focus on speeding up random search through adaptive resource allocation. We present HYPERBAND, a novel algorithm for hyperparameter optimization that is simple, flexible, and theoretically sound. HYPERBAND is a principled early-stoppping method that adaptively allocates a predefined resource, e.g., iterations, data samples or number of features, to randomly sampled configurations. We compare HYPERBAND with popular Bayesian Optimization methods on several hyperparameter optimization problems. We observe that HYPERBAND can provide more than an order of magnitude speedups over competitors on a variety of neural network and kernel-based learning problems.",Hyperband: Bandit-Based Configuration Evaluation for Hyperparameter Optimization,HyPERBAND: Faster Hyperparameter Optimization by Adaptive Resource Allocation via Stochastic Early-Stopp,HyperBand: Adaptive Resource Allocation for Hyperparameter Optimization,HyperBand: Adaptive Resource Allocation for Hyperparameter Optimization
70,"Nonnegative Matrix Factorization (NMF) is a widely used technique in many applications such as clustering. It approximates the nonnegative data in an original high dimensional space with a linear representation in a low dimensional space by using the product of two nonnegative matrices. In many applications with data such as human faces or digits, data often reside on multiple manifolds, which may overlap or intersect. But the traditional NMF method and other existing variants of NMF do not consider this. This paper proposes a novel clustering algorithm that explicitly models the intrinsic geometrical structure of the data on multiple manifolds with NMF. The idea of the proposed algorithm is that a data point generated by several neighboring points on a specific manifold in the original space should be constructed in a similar way in the low dimensional subspace. A set of experimental results on two real world datasets demonstrate the advantage of the proposed algorithm.",Non-Negative Matrix Factorization Clustering on Multiple Manifolds,Clustering on Multiple Manifolds with Nonnegative Matrix Factorization,Clustering on Multiple Manifolds with Nonnegative Matrix Factorization,On Multiple Manifolds with Nonnegative Matrix Factorization
71,"We present two language models based upon an “immediate-head” parser — our name for a parser that conditions all events below a constituent c upon the head of c. While all of the most accurate statistical parsers are of the immediate-head variety, no previous grammatical language model uses this technology. The perplexity for both of these models significantly improve upon the trigram model base-line as well as the best previous grammarbased language model. For the better of our two models these improvements are 24% and 14% respectively. We also suggest that improvement of the underlying parser should significantly improve the model’s perplexity and that even in the near term there is a lot of potential for improvement in immediatehead language models.",Immediate-Head Parsing for Language Models,An Immediate-Head Parser for Statistical Language Models,Immediate-Head Language Models for Statistical Parsing,Immediate-Head Language Models for Statistical Parsing
72,"Scoring sentences in documents given abstract summaries created by humans is important in extractive multi-document summarization. In this paper, we formulate extractive summarization as a two step learning problem building a generative model for pattern discovery and a regression model for inference. We calculate scores for sentences in document clusters based on their latent characteristics using a hierarchical topic model. Then, using these scores, we train a regression model based on the lexical and structural characteristics of the sentences, and use the model to score sentences of new documents to form a summary. Our system advances current state-of-the-art improving ROUGE scores by ∼7%. Generated summaries are less redundant and more coherent based upon manual quality evaluations.",A Hybrid Hierarchical Model for Multi-Document Summarization,A Two Step Learning Approach to Extractive Summarization with Latent Attributes,Learning to Generate Summaries from Document Clusters,Learning to Generate Summaries from Document Clusters
73,"We present a methodology for summarization of news about current events in the form of briefings that include appropriate background (historical) information. The system that we developed, SUMMONS, uses the output of systems developed for the DARPA Message Understanding Conferences to generate summaries of multiple documents on the same or related events, presenting similarities and differences, contradictions, and generalizations among sources of information. We describe the various components of the system, showing how information from multiple articles is combined, organized into a paragraph, and finally, realized as English sentences. A feature of our work is the extraction of descriptions of entities such as people and places for reuse to enhance a briefing.",Generating Natural Language Summaries from Multiple On-Line Sources,SUMMONS: A System for Summarization of News about Current Events,Summating News and Historical Events: A System for Historical Briefing,Summarizing News with Historical Context
74,"Neural encoder-decoder models have been successful in natural language generation tasks. However, real applications of abstractive summarization must consider an additional constraint that a generated summary should not exceed a desired length. In this paper, we propose a simple but effective extension of a sinusoidal positional encoding (Vaswani et al., 2017) so that a neural encoder-decoder model preserves the length constraint. Unlike previous studies that learn length embeddings, the proposed method can generate a text of any length even if the target length is unseen in training data. The experimental results show that the proposed method is able not only to control generation length but also improve ROUGE scores.",Positional Encoding to Control Output Sequence Length,A Simple but Effective Extension of a sinusoidal positional encoding for Abstractive Summarization,Learning to Generate Text of Any Length with a Sinusoidal Positioning Encoding,Learning to Generate Text of Any Length with a Sinusoidal Positioning Encoder-Decoder Model
75,"We propose a pre-training technique for recurrent neural networks based on linear autoencoder networks for sequences, i.e. linear dynamical systems modelling the target sequences. We start by giving a closed form solution for the definition of the optimal weights of a linear autoencoder given a training set of sequences. This solution, however, is computationally very demanding, so we suggest a procedure to get an approximate solution for a given number of hidden units. The weights obtained for the linear autoencoder are then used as initial weights for the inputto-hidden connections of a recurrent neural network, which is then trained on the desired task. Using four well known datasets of sequences of polyphonic music, we show that the proposed pre-training approach is highly effective, since it allows to largely improve the state of the art results on all the considered datasets.",Pre-training of Recurrent Neural Networks via Linear Autoencoders,Pre-training of Recurrent Neural Networks via Linear Autoencoders,Pre-training of Linear Autoencoders for Recurrent Neural Networks,Pre-training of Linear Autoencoders for Recurrent Neural Networks
76,"Language technologies contribute to promoting multilingualism and linguistic diversity around the world. However, only a very small number of the over 7000 languages of the world are represented in the rapidly evolving language technologies and applications. In this paper we look at the relation between the types of languages, resources, and their representation in NLP conferences to understand the trajectory that different languages have followed over time. Our quantitative investigation underlines the disparity between languages, especially in terms of their resources, and calls into question the ""language agnostic"" status of current models and systems. Through this paper, we attempt to convince the ACL community to prioritise the resolution of the predicaments highlighted here, so that no language is left behind.",The State and Fate of Linguistic Diversity and Inclusion in the NLP World,"""No Language is Left Behind"": A Case Study on the Representation of Languages in NLP Conferences",The Role of Language in NLP: A Quantitative Analysis,The Decline of Multilingualism in NLP: A Quantitative Analysis of the Role of Language Resources and Language Diversity
77,"We introduce globally normalized convolutional neural networks for joint entity classification and relation extraction. In particular, we propose a way to utilize a linear-chain conditional random field output layer for predicting entity types and relations between entities at the same time. Our experiments show that global normalization outperforms a locally normalized softmax layer on a benchmark dataset.",Global Normalization of Convolutional Neural Networks for Joint Entity and Relation Classification,Globally Normalized Convolutional Neural Networks for Joint Entity Classification and Relation Extraction,Global Normalization for Joint Entity Classification and Relation Extraction,Global Normalization for Joint Entity Classification and Relation Extraction
78,"Sentiment classification on tweets often needs to deal with the problems of under-specificity, noise, and multilingual content. This study proposes a heterogeneous multi-layer network-based representation of tweets to generate multiple representations of a tweet and address the above issues. The generated representations are further ensembled and classified using a neural-based early fusion approach. Further, we propose a centrality aware random-walk for node embedding and tweet representations suitable for the multi-layer network. From various experimental analysis, it is evident that the proposed method can address the problem of under-specificity, noisy text, and multilingual content present in a tweet and provides better classification performance than the text-based counterparts. Further, the proposed centrality aware based random walk provides better representations than unbiased and other biased counterparts.",Sentiment Analysis of Tweets using Heterogeneous Multi-layer Network Representation and Embedding,Heterogeneous Multi-layer Network-based Representations of Tweets for Sentiment Classification,Heterogeneous Multi-layer Network-based Representation of Tweets for Sentiment Classification,Heterogeneous Multi-Layer Network-based Representations of Tweets for Sentiment Classification
79,"The sentiment classification performance relies on high-quality sentiment resources. However, these resources are imbalanced in different languages. Cross-language sentiment classification (CLSC) can leverage the rich resources in one language (source language) for sentiment classification in a resource-scarce language (target language). Bilingual embeddings could eliminate the semantic gap between two languages for CLSC, but ignore the sentiment information of text. This paper proposes an approach to learning bilingual sentiment word embeddings (BSWE) for English-Chinese CLSC. The proposed BSWE incorporate sentiment information of text into bilingual embeddings. Furthermore, we can learn high-quality BSWE by simply employing labeled corpora and their translations, without relying on largescale parallel corpora. Experiments on NLP&CC 2013 CLSC dataset show that our approach outperforms the state-of-theart systems.",Learning Bilingual Sentiment Word Embeddings for Cross-language Sentiment Classification,Learning Bilingual Sentiment Word Embeddings for Cross-language Sentiment Classification,Learning Bilingual Sentiment Word Embeddings for English-Chinese Cross-Language Sentiment Classification,Learning Bilingual Sentiment Word Embeddings for Cross-Language Classification
