,abstract,human_title,bart_base,bart_cnn,bart_xsum,t5_small,gpt2,pegasus_xsum
63,"Sentence compression techniques often assemble output sentences using fragments of lexical sequences such as ngrams or units of syntactic structure such as edges from a dependency tree representation. We present a novel approach for discriminative sentence compression that unifies these notions and jointly produces sequential and syntactic representations for output text, leveraging a compact integer linear programming formulation to maintain structural integrity. Our supervised models permit rich features over heterogeneous linguistic structures and generalize over previous state-of-theart approaches. Experiments on corpora featuring human-generated compressions demonstrate a 13-15% relative gain in 4gram accuracy over a well-studied language model-based compression system.",Sentence Compression with Joint Structural Inference,Discriminative Sentence Compression with Compact Integer Programming Formulations,,Discriminative Sentence Compression with Sequential and Syntactic Representations,Discriminative Sentence Compression with Sequential and Syntactic Representations, Discriminative Sentence Compression with Compact Integer Linear Programming,Joint Sequential and Syntactic Representations for Discriminative Sentence Compression
64,"Fast alignment is essential for many natural language tasks. But in the setting of monolingual alignment, previous work has not been able to align more than one sentence pair per second. We describe a discriminatively trained monolingual word aligner that uses a Conditional Random Field to globally decode the best alignment with features drawn from source and target sentences. Using just part-of-speech tags and WordNet as external resources, our aligner gives state-of-the-art result, while being an order-of-magnitude faster than the previous best performing system.",A Lightweight and High Performance Monolingual Word Aligner,A Discriminatively trained Monolingual Word Aligner,Fast Alignment of Monolingual Word Aligners with Conditional Random Fields and External Resources using Part-of-Spe,Fast Monolingual Word Alignment with Conditional Random Fields,, A Discriminatively-trained Monolingual Word Aligner,Fast Monolingual Word Alignment using Conditional Random Fields.
65,"We introduce XMEANT—a new cross-lingual version of the semantic frame based MT evaluation metric MEANT—which can correlate even more closely with human adequacy judgments than monolingual MEANT and eliminates the need for expensive human references. Previous work established that MEANT reflects translation adequacy with state-of-the-art accuracy, and optimizing MT systems against MEANT robustly improves translation quality. However, to go beyond tuning weights in the loglinear SMT model, a cross-lingual objective function that can deeply integrate semantic frame criteria into the MT training pipeline is needed. We show that cross-lingual XMEANT outperforms monolingual MEANT by (1) replacing the monolingual context vector model in MEANT with simple translation probabilities, and (2) incorporating bracketing ITG con-",XMEANT: Better semantic MT evaluation without reference translations,,XMEANT: A Cross-Lingual MT Evaluation Metric for Semantic Frame-based MT Evaluation with Monoling,XMEANT: Cross-lingual MT Evaluation Metric Based on Semantic Frame Criteria,Cross-lingual XMEANT: A Cross-Lingual Version of the Semantic Frame based Evaluation Metric, Cross-Lingual Evaluation Metric Meant,Cross-lingual Meant for Machine Translation Evaluation
66,"Pre-trained text encoders have rapidly advanced the state of the art on many NLP tasks. We focus on one such model, BERT, and aim to quantify where linguistic information is captured within the network. We find that the model represents the steps of the traditional NLP pipeline in an interpretable and localizable way, and that the regions responsible for each step appear in the expected sequence: POS tagging, parsing, NER, semantic roles, then coreference. Qualitative analysis reveals that the model can and often does adjust this pipeline dynamically, revising lower-level decisions on the basis of disambiguating information from higher-level representations.",BERT Rediscovers the Classical NLP Pipeline,BERT: An Interpretable and Localized Model for Pre-trained Neural Language Processing,BERT: Quantifying the Role of Linguistic Information in Pre-trained Text Encoders for Coreference and POS,,BERT: An Interpretable and Localizable Model for Pre-Trained Text Encoding, Bert: A Localizable Model for Text Representation,BERT: Where and When Are We Near the End of NLP?
67,"Reinforcement learning (RL) has been widely used to aid training in language generation. This is achieved by enhancing standard maximum likelihood objectives with userspecified reward functions that encourage global semantic consistency. We propose a principled approach to address the difficulties associated with RL-based solutions, namely, highvariance gradients, uninformative rewards and brittle training. By leveraging the optimal transport distance, we introduce a regularizer that significantly alleviates the above issues. Our formulation emphasizes the preservation of semantic features, enabling end-to-end training instead of ad-hoc fine-tuning, and when combined with RL, it controls the exploration space for more efficient model updates. To validate the effectiveness of the proposed solution, we perform a comprehensive evaluation covering a wide variety of NLP tasks: machine translation, abstractive text summarization and image caption, with consistent improvements over competing",Sequence Generation with Optimal-Transport-Enhanced Reinforcement Learning,End-to-End Reinforcement Learning with Global Semantic Consistency,Optimal Transport-based Reinforcement Learning for Global Semantic Consistency in NLP Tasks: A Principled Approach,End-to-End Reinforcement Learning for Language Generation with Global Semantic Consistency,A Regularizer for Reinforcement Learning in Language Generation,,Reinforcement Learning for Natural Language Processing with Optimal Transport
68,"We present a lexicon-based approach to extracting sentiment from text. The Semantic Orientation CALculator (SO-CAL) uses dictionaries of words annotated with their semantic orientation (polarity and strength), and incorporates intensification and negation. SO-CAL is applied to the polarity classification task, the process of assigning a positive or negative label to a text that captures the text’s opinion towards its main subject matter. We show that SO-CAL’s performance is consistent across domains and on completely unseen data. Additionally, we describe the process of dictionary creation, and our use of Mechanical Turk to check dictionaries for consistency and reliability.",Lexicon-Based Methods for Sentiment Analysis,Semantic Orientation CALculator: A Lexicon-Based Approach to Extracting Sentiment from Text,Automatic Sentiment Extraction from Text with Semantic Orientation Calculator (SO-CAL) and Lexicon,,The Semantic Orientation Calculator for Sentiment Extraction, A Lexicon-Based Approach to Sentiment Extraction from Text,Lexicon-based Sentiment Analysis using the Semantic Orientation of Words
69,"Performance of machine learning algorithms depends critically on identifying a good set of hyperparameters. While recent approaches use Bayesian Optimization to adaptively select configurations, we focus on speeding up random search through adaptive resource allocation. We present HYPERBAND, a novel algorithm for hyperparameter optimization that is simple, flexible, and theoretically sound. HYPERBAND is a principled early-stoppping method that adaptively allocates a predefined resource, e.g., iterations, data samples or number of features, to randomly sampled configurations. We compare HYPERBAND with popular Bayesian Optimization methods on several hyperparameter optimization problems. We observe that HYPERBAND can provide more than an order of magnitude speedups over competitors on a variety of neural network and kernel-based learning problems.",Hyperband: Bandit-Based Configuration Evaluation for Hyperparameter Optimization,HyPERBAND: Adaptive Resource Allocation for Dynamic Hyperparameter Optimization,HyPERBAND: Faster Hyperparameter Optimization by Adaptive Resource Allocation via Stochastic Early-Stopp,HyperBand: Adaptive Resource Allocation for Hyperparameter Optimization,HYPERBAND: Accelerating Random Search via Bayesian Optimization, HyPERBAND: Adaptive Random Search for Hyperparameter Optimization,
70,"Nonnegative Matrix Factorization (NMF) is a widely used technique in many applications such as clustering. It approximates the nonnegative data in an original high dimensional space with a linear representation in a low dimensional space by using the product of two nonnegative matrices. In many applications with data such as human faces or digits, data often reside on multiple manifolds, which may overlap or intersect. But the traditional NMF method and other existing variants of NMF do not consider this. This paper proposes a novel clustering algorithm that explicitly models the intrinsic geometrical structure of the data on multiple manifolds with NMF. The idea of the proposed algorithm is that a data point generated by several neighboring points on a specific manifold in the original space should be constructed in a similar way in the low dimensional subspace. A set of experimental results on two real world datasets demonstrate the advantage of the proposed algorithm.",Non-Negative Matrix Factorization Clustering on Multiple Manifolds,Multi-Manifold Nonnegative Matrix Factorization.,Nonnegative Matrix Factorization on Manifolds with Intrinsic Geometrical Structure for Multiple Manifold Manif,Clustering on Multiple Manifolds with Nonnegative Matrix Factorization,Clustering Nonnegative Matrix Factorization for High Dimensional Space,,Clustering on Multiple Manifolds with Nonnegative Matrix Factorization
71,"We present two language models based upon an “immediate-head” parser — our name for a parser that conditions all events below a constituent c upon the head of c. While all of the most accurate statistical parsers are of the immediate-head variety, no previous grammatical language model uses this technology. The perplexity for both of these models significantly improve upon the trigram model base-line as well as the best previous grammarbased language model. For the better of our two models these improvements are 24% and 14% respectively. We also suggest that improvement of the underlying parser should significantly improve the model’s perplexity and that even in the near term there is a lot of potential for improvement in immediatehead language models.",Immediate-Head Parsing for Language Models,Improvements in an Immediate-Head Language Model Based on a Grammatical Parser,Parsing with an Immediate-Head Parser and its Application to the trigram base-line Grammatical language model,An Immediate-Head Parser for Statistical Language Models,, Improving Grammatical Language Modeling by Immediate-Heading Parsing,Two Immediate-Head Grammatical Language Models
72,"Scoring sentences in documents given abstract summaries created by humans is important in extractive multi-document summarization. In this paper, we formulate extractive summarization as a two step learning problem building a generative model for pattern discovery and a regression model for inference. We calculate scores for sentences in document clusters based on their latent characteristics using a hierarchical topic model. Then, using these scores, we train a regression model based on the lexical and structural characteristics of the sentences, and use the model to score sentences of new documents to form a summary. Our system advances current state-of-the-art improving ROUGE scores by ∼7%. Generated summaries are less redundant and more coherent based upon manual quality evaluations.",A Hybrid Hierarchical Model for Multi-Document Summarization,A Two Step Learning Approach to Extractive Summarization with Latent Attributes,A Two-Step Learning Approach to Extractive Summarization Using Hierarchical Topic Models and Lexical and Structural Information,,Extractive Multi-Document Summarization with Hierarchical Topic Model, Extractive Summarization as a Two Step Learning Problem,Extractive Multi-Document Summarization Using Latent and Lexical Features
73,"We present a methodology for summarization of news about current events in the form of briefings that include appropriate background (historical) information. The system that we developed, SUMMONS, uses the output of systems developed for the DARPA Message Understanding Conferences to generate summaries of multiple documents on the same or related events, presenting similarities and differences, contradictions, and generalizations among sources of information. We describe the various components of the system, showing how information from multiple articles is combined, organized into a paragraph, and finally, realized as English sentences. A feature of our work is the extraction of descriptions of entities such as people and places for reuse to enhance a briefing.",Generating Natural Language Summaries from Multiple On-Line Sources,Summarization of Current Events in the Form of Briefings,,Summons: A System for Historical Summarization of News Briefings,SUMMONS: A System for Summarization of News about Current Events, Summarization of News About Current Events,SUMMONS: A Methodology for Semantic Summarization of News about Events
74,"Neural encoder-decoder models have been successful in natural language generation tasks. However, real applications of abstractive summarization must consider an additional constraint that a generated summary should not exceed a desired length. In this paper, we propose a simple but effective extension of a sinusoidal positional encoding (Vaswani et al., 2017) so that a neural encoder-decoder model preserves the length constraint. Unlike previous studies that learn length embeddings, the proposed method can generate a text of any length even if the target length is unseen in training data. The experimental results show that the proposed method is able not only to control generation length but also improve ROUGE scores.",Positional Encoding to Control Output Sequence Length,A Simple but Effective Extension of a sinusoidal positional encoding for Abstractive Summarization,A Simple and Effective Extension of Neural Encoder-Decoder Models for Abstractive Summarization Using a Sinusoidal Position,Learning Length Embeddings for Abstractive Summarization with Neural Encoder-Decoder Models,Sinusoidal Positional Encoding for Neural Language Generation, A Sinusoidal Neural Encoder-Decoder Model for Abstractive Summarization,
75,"We propose a pre-training technique for recurrent neural networks based on linear autoencoder networks for sequences, i.e. linear dynamical systems modelling the target sequences. We start by giving a closed form solution for the definition of the optimal weights of a linear autoencoder given a training set of sequences. This solution, however, is computationally very demanding, so we suggest a procedure to get an approximate solution for a given number of hidden units. The weights obtained for the linear autoencoder are then used as initial weights for the inputto-hidden connections of a recurrent neural network, which is then trained on the desired task. Using four well known datasets of sequences of polyphonic music, we show that the proposed pre-training approach is highly effective, since it allows to largely improve the state of the art results on all the considered datasets.",Pre-training of Recurrent Neural Networks via Linear Autoencoders,Pre-training for Recurrent Neural Networks with Linear Autoencoder Networks,,Pre-training of Linear Autoencoder Networks for Recurrent Neural Networks,Pre-training for Recurrent Neural Networks with Linear Autoencoder Networks, Training Recurrent Neural Networks with Linear Autoencoders,Pre-training of Linear Autoencoder Networks for Sequences
76,"Language technologies contribute to promoting multilingualism and linguistic diversity around the world. However, only a very small number of the over 7000 languages of the world are represented in the rapidly evolving language technologies and applications. In this paper we look at the relation between the types of languages, resources, and their representation in NLP conferences to understand the trajectory that different languages have followed over time. Our quantitative investigation underlines the disparity between languages, especially in terms of their resources, and calls into question the ""language agnostic"" status of current models and systems. Through this paper, we attempt to convince the ACL community to prioritise the resolution of the predicaments highlighted here, so that no language is left behind.",The State and Fate of Linguistic Diversity and Inclusion in the NLP World,Language Agnostic: A quantitative study of the impact of language technologies on NLP,"The Language Agnostic Community: The Case of Multilingualism, Diversity, and Representation in NLP Conference Transcripts.",,"Understanding the Relation between Languages, Resources, and Their Representation in NLP Conférences", The Impact of Language Technology on Multilingualism and Linguistic Diversity,"""No Language is Left Behind"": A Case Study on the Representation of Languages in NLP Conferences"
77,"We introduce globally normalized convolutional neural networks for joint entity classification and relation extraction. In particular, we propose a way to utilize a linear-chain conditional random field output layer for predicting entity types and relations between entities at the same time. Our experiments show that global normalization outperforms a locally normalized softmax layer on a benchmark dataset.",Global Normalization of Convolutional Neural Networks for Joint Entity and Relation Classification,Global Normalization of Convolutional Neural Networks for Joint Entity Classification and Relation Extraction,Globally Normalized Convolutional Neural Networks for Joint Entity Classification and Relation Extraction with Global Normalized Random Fields,Global Normalization for Joint Entity Classification and Relation Extraction with Conditional Random Fields,Global Normalized Neural Networks for Joint Entity Classification and Relation Extraction,,Globally Normalized Convolutional Neural Networks for Joint Entity Classification and Relation Extraction
78,"Sentiment classification on tweets often needs to deal with the problems of under-specificity, noise, and multilingual content. This study proposes a heterogeneous multi-layer network-based representation of tweets to generate multiple representations of a tweet and address the above issues. The generated representations are further ensembled and classified using a neural-based early fusion approach. Further, we propose a centrality aware random-walk for node embedding and tweet representations suitable for the multi-layer network. From various experimental analysis, it is evident that the proposed method can address the problem of under-specificity, noisy text, and multilingual content present in a tweet and provides better classification performance than the text-based counterparts. Further, the proposed centrality aware based random walk provides better representations than unbiased and other biased counterparts.",Sentiment Analysis of Tweets using Heterogeneous Multi-layer Network Representation and Embedding,,Heterogeneous Multi-Layer Network-based Representation of Tweets with Centrality Aware Random Walk for Sentiment Classification on,Heterogeneous Multi-layer Network-based Representation of Tweets for Sentiment Classification,Multi-layer Network Representations for Sentiment Classification, Heterogeneous Multi-Layer Representation of Tweets for Sentiment Classification,Heterogeneous Multi-layer Network-based Representations of Tweets for Sentiment Classification
79,"The sentiment classification performance relies on high-quality sentiment resources. However, these resources are imbalanced in different languages. Cross-language sentiment classification (CLSC) can leverage the rich resources in one language (source language) for sentiment classification in a resource-scarce language (target language). Bilingual embeddings could eliminate the semantic gap between two languages for CLSC, but ignore the sentiment information of text. This paper proposes an approach to learning bilingual sentiment word embeddings (BSWE) for English-Chinese CLSC. The proposed BSWE incorporate sentiment information of text into bilingual embeddings. Furthermore, we can learn high-quality BSWE by simply employing labeled corpora and their translations, without relying on largescale parallel corpora. Experiments on NLP&CC 2013 CLSC dataset show that our approach outperforms the state-of-theart systems.",Learning Bilingual Sentiment Word Embeddings for Cross-language Sentiment Classification,Learning Bilingual Sentiment Word Embeddings for Cross-Language Sentiment Classification,Learning Bilingual Sentiment Word Embeddings for Cross-Language Sentiment Classification in a Resource-Scarce LSTM,Learning Bilingual Sentiment Word Embeddings for English-Chinese Cross-Language Classification,, Learning Bilingual Sentiment Word Embeddings for Cross-Language Sentiment Classification,Bilingual Sentiment Word Embeddings for English-Chinese Cross-Language Sentiment Classification
80,"This paper presents an approach for Multilingual Document Clustering in comparable corpora. The algorithm is of heuristic nature and it uses as unique evidence for clustering the identification of cognate named entities between both sides of the comparable corpora. One of the main advantages of this approach is that it does not depend on bilingual or multilingual resources. However, it depends on the possibility of identifying cognate named entities between the languages used in the corpus. An additional advantage of the approach is that it does not need any information about the right number of clusters; the algorithm calculates it. We have tested this approach with a comparable corpus of news written in English and Spanish. In addition, we have compared the results with a system which translates selected document features. The obtained results are encouraging.",Multilingual Document Clustering: An Heuristic Approach Based on Cognate Named Entities,Multilingual Document Clustering in Comparable Corpora Using Heuristic Data,Multilingual Document Clustering in Comparable Corpora: Identifying Cognate Named Entities by Means of Heuristic Information,Multilingual Document Clustering in Comparable Corpora using Cognate Named Entities,Multilingual Document Clustering in Comparable Corpora, Multilingual Document Clustering Using Comparable Corpora,
81,"We examine the task of temporal relation classification. Unlike existing approaches to this task, we (1) classify an event-event or eventtime pair as one of the 14 temporal relations defined in the TimeBank corpus, rather than as one of the six relations collapsed from the original 14; (2) employ sophisticated linguistic knowledge derived from a variety of semantic and discourse relations, rather than focusing on morpho-syntactic knowledge; and (3) leverage a novel combination of rule-based and learning-based approaches, rather than relying solely on one or the other. Experiments with the TimeBank corpus demonstrate that our knowledge-rich, hybrid approach yields a 15–16% relative reduction in error over a state-of-the-art learning-based baseline system.",Classifying Temporal Relations with Rich Linguistic Knowledge,Temporal Relation Classification Using Semantic and Discourse Knowledge,A Knowledge-Rich Hybrid Temporal Relation Classification Based on Morpho-Syntactic Knowledge and Learning-Based Approaches,,Learning to Classify Event-Events and Eventtime Pairs, Temporal Relation Classification Using Semantic and Discourse Relations,Temporal Relation Classification with Hybrid Lexical Knowledge
82,"Syntactic analysis of search queries is important for a variety of information-retrieval tasks; however, the lack of annotated data makes training query analysis models difficult. We propose a simple, efficient procedure in which part-of-speech tags are transferred from retrieval-result snippets to queries at training time. Unlike previous work, our final model does not require any additional resources at run-time. Compared to a state-ofthe-art approach, we achieve more than 20% relative error reduction. Additionally, we annotate a corpus of search queries with partof-speech tags, providing a resource for future work on syntactic query analysis.",Using Search-Logs to Improve Query Tagging,Part-of-Speech Tagging for Syntactic Search Queries,Syntactic Query Analysis with Part-of-Speech Tagging and Efficient Training of Information Retrieval Queries,Part-of-Speech Tagging for Efficient Syntactic Query Analysis,, Part-of-Speech Tagging for Search Queries,Training Query Analysis Models with Part-of-Speech Tagging Data
83,"We introduce a weakly supervised approach for inferring the property of abstractness of words and expressions in the complete absence of labeled data. Exploiting only minimal linguistic clues and the contextual usage of a concept as manifested in textual data, we train sufficiently powerful classifiers, obtaining high correlation with human labels. The results imply the applicability of this approach to additional properties of concepts, additional languages, and resource-scarce scenarios.",Learning Concept Abstractness Using Weak Supervision,Weakly Supervised Inference of Abstractness in Texts,Weakly Supervised Learning of Abstractness of Words and Expressions from Labelled Data: An Application to Semantic Interpretation,Weakly Supervised Inference of Abstractness of Words and Expressions Without Labeled Data,Inferring Abstractness of Words and Expressions in Textual Data, Weakly Supervised Learning of Abstractness,
84,"One major challenge in training Deep Neural Networks is preventing overfitting. Many techniques such as data augmentation and novel regularizers such as Dropout have been proposed to prevent overfitting without requiring a massive amount of training data. In this work, we propose a new regularizer called DeCov which leads to significantly reduced overfitting (as indicated by the difference between train and val performance), and better generalization. Our regularizer encourages diverse or non-redundant representations in Deep Neural Networks by minimizing the cross-covariance of hidden activations. This simple intuition has been explored in a number of past works but surprisingly has never been applied as a regularizer in supervised learning. Experiments across a range of datasets and network architectures show that this loss always reduces overfitting while almost always maintaining or increasing generalization performance and often improving performance over Dropout.",Reducing Overfitting in Deep Networks by Decorrelating Representations,DeCov: Reducing Overfitting in Deep Neural Networks by Minimizing Cross-Covariance,DeCov: DeCov Regularized Training of Deep Neural Networks via Cross-Covariance and Generalization.,DeCov: A Cross-Covariance Regularizer for Deep Neural Networks,DeCov: Regularizing Deep Neural Networks for Overfitting, DeCov: DeCov Regularization for Deep Neural Networks,
85,"The task of inferring the native language of an author based on texts written in a second language has generally been tackled as a classification problem, typically using as features a mix of n-grams over characters and part of speech tags (for small and fixed n) and unigram function words. To capture arbitrarily long n-grams that syntax-based approaches have suggested are useful, adaptor grammars have some promise. In this work we investigate their extension to identifying n-gram collocations of arbitrary length over a mix of PoS tags and words, using both maxent and induced syntactic language model approaches to classification. After presenting a new, simple baseline, we show that learned collocations used as features in a maxent model perform better still, but that the story is more mixed for the syntactic language model.",Exploring Adaptor Grammars for Native Language Identification,,Automatic Collocation of Native Language Texts using Adaptor Grammars and Syntax-Based Syntactic Language Modeling,Learning Adaptor Grammars for Native Language Inference from Second Language Texts,Identifying N-gram Collocations over PoS Tags and Words for Syntactic Language Models, Adaptor Grammars for Native Language Acquisition,Learning to Induct Native Language Features into Syntactic Language Models
86,"In this paper, we explore the utility of intraand inter-sentential causal relations between terms or clauses as evidence for answering why-questions. To the best of our knowledge, this is the first work that uses both intraand inter-sentential causal relations for why-QA. We also propose a method for assessing the appropriateness of causal relations as answers to a given question using the semantic orientation of excitation proposed by Hashimoto et al. (2012). By applying these ideas to Japanese why-QA, we improved precision by 4.4% against all the questions in our test set over the current state-of-theart system for Japanese why-QA. In addition, unlike the state-of-the-art system, our system could achieve very high precision (83.2%) for 25% of all the questions in the test set by restricting its output to the confident answers only.",Why-Question Answering using Intra- and Inter-Sentential Causal Relations,Using Interra and Inter-Sentential Causal Relations for Japanese Why-Answer Answering,Why-QA: Using Intra- and Inter-Sentential Causal Relations to Improve Precision for Japanese Why-Q,,Using Intra-and Inter-Sentential Causal Relations for Japanese Why-QA, Why-QA Using Intra-and Inter-Sentential Causal Relations,Using Intra- and Inter-Sentential Causal Relations to Answer Japanese Why-questions
87,"We propose a model for jointly predicting multiple emotions in natural language sentences. Our model is based on a low-rank coregionalisation approach, which combines a vector-valued Gaussian Process with a rich parameterisation scheme. We show that our approach is able to learn correlations and anti-correlations between emotions on a news headlines dataset. The proposed model outperforms both singletask baselines and other multi-task approaches.",Joint Emotion Analysis via Multi-task Gaussian Processes,Joint Predicting of Multiple Emotions in Natural Language Sentences,Jointly Predicting Multiple Emotions in Natural Language Sentences using Gaussian Processes and Low-Rank Coregional,,A Low-rank Coregionalisation Approach to Predicting Multiple Emotions in Natural Language Sentences, Joint Predicting Multiple Emotions in Natural Language Sentences,A Low-Rank Co-Regionisation Approach for Joint Emotion Prediction
88,"This paper considers the subspace clustering problem where the data contains irrelevant or corrupted features. We propose a method termed “robust Dantzig selector” which can successfully identify the clustering structure even with the presence of irrelevant features. The idea is simple yet powerful: we replace the inner product by its robust counterpart, which is insensitive to the irrelevant features given an upper bound of the number of irrelevant features. We establish theoretical guarantees for the algorithm to identify the correct subspace, and demonstrate the effectiveness of the algorithm via numerical simulations. To the best of our knowledge, this is the first method developed to tackle subspace clustering with irrelevant features.",Subspace Clustering with Irrelevant Features via Robust Dantzig Selector,Robust Dantzig selector for subspace clustering with irrelevant features,Robust Dantzig Selector: Identifying Irrelevant Features in Subspace Clustering with Robust Densities.,Robust Dantzig Selector for Subspace Clustering with Irrelevant Features,A Robust Dantzig Selector for Subspace Clustering with irrelevant features, Robust Dantzig Subspace Clustering,
89,"Contrary to most natural language processing research, which makes use of static datasets, humans learn language interactively, grounded in an environment. In this work we propose an interactive learning procedure called Mechanical Turker Descent (MTD) and use it to train agents to execute natural language commands grounded in a fantasy text adventure game. In MTD, Turkers compete to train better agents in the short term, and collaborate by sharing their agents’ skills in the long term. This results in a gamified, engaging experience for the Turkers and a better quality teaching signal for the agents compared to static datasets, as the Turkers naturally adapt the training data to the agent’s abilities.",Mastering the Dungeon: Grounded Language Learning by Mechanical Turker Descent,Turker Descent: Interactively Learning to execute Natural Language commands in a Fantasy Game,Turker Descent: Interactive Learning of Natural Language Agents in a Fantasy Text Adventure Game using Static Dataset and Skill Sharing,Turker Descent: Interactive Learning for Natural Language Processing with Mechanical Turkers,, Turker Descent: Interactive Learning for Natural Language Utterance Games,Mechanical Turker Descent: Learning Language Interactively from Text Adventure Games
90,"We initiate a study comparing effectiveness of the transformed spaces learned by recently proposed supervised, and semisupervised metric learning algorithms to those generated by previously proposed unsupervised dimensionality reduction methods (e.g., PCA). Through a variety of experiments on different realworld datasets, we find IDML-IT, a semisupervised metric learning algorithm to be the most effective.",Learning Better Data Representation Using Inference-Driven Metric Learning,,A Study on Transformation Metric Learning for Unsupervised Dimensionality Reduction with Application to Supervised and Semi-Supervised Met,Semi-Supervised Metric Learning vs. Unsupervised Dimensionality Reduction: A Case Study on IDML-IT,IDML-IT: a Semi-Supervised Learning Algorithm, Unsupervised Dimensionality Reduction with Transformed Spaces,A Comparison of Supervised and Semi-Supervised Metric Learning Algorithms
91,"The purpose of this paper is to investigate infinity-sample properties of risk minimization based multi-category classification methods. These methods can be considered as natural extensions to binary large margin classification. We establish conditions that guarantee the infinity-sample consistency of classifiers obtained in the risk minimization framework. Examples are provided for two specific forms of the general formulation, which extend a number of known methods. Using these examples, we show that some risk minimization formulations can also be used to obtain conditional probability estimates for the underlying problem. Such conditional probability information will be useful for statistical inferencing tasks beyond classification.",An Infinity-sample Theory for Multi-category Large Margin Classification,,Infinite-sample multi-category classification with risk minimization and Conditional probability estimates. A general analysis of the general formulations,Risk Minimization and Conditional Probability Estimation in Multi-category Classification,Infinity-Sample Properties of Risk Minimization based Multi-Category Classification, On the Consistency of Risk Minimization Based Multi-category Classification,The infinity-sample consistency of risk based multi-category classification
92,"Distinguishing speculative statements from factual ones is important for most biomedical text mining applications. We introduce an approach which is based on solving two sub-problems to identify speculative sentence fragments. The first sub-problem is identifying the speculation keywords in the sentences and the second one is resolving their linguistic scopes. We formulate the first sub-problem as a supervised classification task, where we classify the potential keywords as real speculation keywords or not by using a diverse set of linguistic features that represent the contexts of the keywords. After detecting the actual speculation keywords, we use the syntactic structures of the sentences to determine their scopes.",Detecting Speculations and their Scopes in Scientific Text,Identifying Speculation Keyword Fragments in Biomedical Text Mining,Identifying Speculation Keywords in Sentence Fragments using Syntactic Structures and their Linguistic Scopes: An,,Distinguishing Speculative Statements from Factual Keywords, Identifying Spurious Sentences Using Syntactic Structures,Identifying Speculation in Factual Texts
93,"Information-theoretic measures are among the most standard techniques for evaluation of clustering methods including word sense induction (WSI) systems. Such measures rely on sample-based estimates of the entropy. However, the standard maximum likelihood estimates of the entropy are heavily biased with the bias dependent on, among other things, the number of clusters and the sample size. This makes the measures unreliable and unfair when the number of clusters produced by different systems vary and the sample size is not exceedingly large. This corresponds exactly to the setting of WSI evaluation where a ground-truth cluster sense number arguably does not exist and the standard evaluation scenarios use a small number of instances of each word to compute the score. We describe more accurate entropy estimators and analyze their performance both in simulations and on evaluation of WSI systems.",Improved Estimation of Entropy for Evaluation of Word Sense Induction,Evaluating Word Sense Induction Systems Using Entropy Estimation,Evaluation of Word Sense Induction Using Entropy Estimation Measures and the Sample Size of Clustering Schemes,Evaluation of Word Sense Induction Systems Based on Sample-Based Entropy Estimation,, Evaluating Clustering Methods Using Word Sense Induction,On the Accuracy of Entropy Estimation for Word Sense Induction
94,"It is usually assumed that the kind of noise existing in annotated data is random classification noise. Yet there is evidence that differences between annotators are not always random attention slips but could result from different biases towards the classification categories, at least for the harder-to-decide cases. Under an annotation generation model that takes this into account, there is a hazard that some of the training instances are actually hard cases with unreliable annotations. We show that these are relatively unproblematic for an algorithm operating under the 0-1 loss model, whereas for the commonly used voted perceptron algorithm, hard training cases could result in incorrect prediction on the uncontroversial cases at test time.",Learning with Annotation Noise,Hard Training Cases in Random Classification Noise Generation,Annotating Hard Cases with Noisy Annotations: Unsupervised Learning of Annotation Models under Uncertainty and Hardness,,Hard Training Cases with Unreliable Annotation Generation, Random Attention Slippage in Annotation,Training hard cases with unreliable annotations could result in incorrect prediction on uncontroversial cases
95,"This paper proposes a method for intrasentential subject zero anaphora resolution in Japanese. Our proposed method utilizes a Multi-column Convolutional Neural Network (MCNN) for predicting zero anaphoric relations. Motivated by Centering Theory and other previous works, we exploit as clues both the surface word sequence and the dependency tree of a target sentence in our MCNN. Even though the F-score of our method was lower than that of the state-of-the-art method, which achieved relatively high recall and low precision, our method achieved much higher precision (>0.8) in a wide range of recall levels. We believe such high precision is crucial for real-world NLP applications and thus our method is preferable to the state-of-the-art method.",Intra-Sentential Subject Zero Anaphora Resolution using Multi-Column Convolutional Neural Network,A Multi-column Convolutional Neural Network for Zero Anaphora Resolution in Japanese,,Japanese Zero Anaphora Resolution with Multi-Column Convolutional Neural Networks,Multi-Column Convolutional Neural Networks for Intrentential Subject Zero Anaphora Resolution, Intrasentential Subject Zero Anaphora Resolution in Japanese,Intra-sentential Subject Zero Anaphora Resolution with Multi- Convolutional Neural Network
96,Traditional vector-based models use word co-occurrence counts from large corpora to represent lexical meaning. In this paper we present a novel approach for constructing semantic spaces that takes syntactic relations into account. We introduce a formalisation for this class of models and evaluate their adequacy on two modelling tasks: semantic priming and automatic discrimination of lexical relations.,Constructing Semantic Space Models from Parsed Corpora,Semantic Spaces for Lexical Semantic Parsing,Building Semantic Spaces with Syntactic and Semantic Priming: A Case Study in Vector-Based Learning of Lexical Meaning,,Semantic Spaces for Syntactic Relation Models, Semantic Spaces for Lexical Relations,A Formalisation of Vector-based Models of Semantic Spaces
