,abstract,title,bart_base,bart_cnn,bart_xsum,t5_small,gpt2,pegasus_xsum
34,"In this paper, we present a novel backward transliteration approach which can further assist the existing statistical model by mining monolingual web resources. Firstly, we employ the syllable-based search to revise the transliteration candidates from the statistical model. By mapping all of them into existing words, we can filter or correct some pseudo candidates and improve the overall recall. Secondly, an AdaBoost model is used to rerank the revised candidates based on the information extracted from monolingual web pages. To get a better precision during the reranking process, a variety of web-based information is exploited to adjust the ranking score, so that some candidates which are less possible to be transliteration names will be assigned with lower ranks. The experimental results show that the proposed framework can significantly outperform the baseline transliteration system in both precision and recall.",Chinese-English Backward Transliteration Assisted with Mining Monolingual Web Pages,Recovering Transliteration Candidates from Monolingual Web Pages for Statistical Machine Translation,Backward Transliteration with Syllable-Based Search Based on Web-based Information Extraction from Monolingual Web,A Novel Backward Transliteration Approach Using Syllable-based Search and Monolingual Web Resources,, Forward Transliteration for Statistical Machine Translation,Exploiting Monolingual Web Resources for Better Recall and Ranking
35,"Existing studies on semantic parsing mainly focus on the in-domain setting. We formulate cross-domain semantic parsing as a domain adaptation problem: train a semantic parser on some source domains and then adapt it to the target domain. Due to the diversity of logical forms in different domains, this problem presents unique and intriguing challenges. By converting logical forms into canonical utterances in natural language, we reduce semantic parsing to paraphrasing, and develop an attentive sequence-to-sequence paraphrase model that is general and flexible to adapt to different domains. We discover two problems, small micro variance and large macro variance, of pre-trained word embeddings that hinder their direct use in neural networks, and propose standardization techniques as a remedy. On the popular Overnight dataset, which contains eight domains, we show that both cross-domain training and standardized pre-trained word embeddings can bring significant improvement.",Cross-domain Semantic Parsing via Paraphrasing,Cross-Domain Semantic Parsing as Domain Adaptation,Cross-Domain Semantic Parsing as Domain Adaptation with Paraphrasing and Pre-Trained Word Embeddings,,Cross-Domain Semantic Parsing as a Domain adaptation problem, Cross-Domain Semantic Parsing as a Domain Adaptation Problem,Cross-Domain Semantic Parsing with Pre-trained Word Embedding
36,The paper introduces a penalized matrix estimation procedure aiming at solutions which are sparse and low-rank at the same time. Such structures arise in the context of social networks or protein interactions where underlying graphs have adjacency matrices which are block-diagonal in the appropriate basis. We introduce a convex mixed penalty which involves `1-norm and trace norm simultaneously. We obtain an oracle inequality which indicates how the two effects interact according to the nature of the target matrix. We bound generalization error in the link prediction problem. We also develop proximal descent strategies to solve the optimization problem efficiently and evaluate performance on synthetic and real data sets.,Estimation of Simultaneously Sparse and Low Rank Matrices.,A Convex Mixed Penalty for Sparse and Low-Rank Matrix Estimation,A Convex Mixed Penalties for Sparse and Low-Rank Matrix Estimation with Application to Protein Interaction Problems.,,A Penalized Matrix Estimation Procedure for Protein Interactions, A Convex Mixed Penalty for Link Prediction,Sparse and Low-Rank Matrix Estimation via Convex Mixed Penalties
37,"In this work, we revisit Shared Task 1 from the 2012 *SEM Conference: the automated analysis of negation. Unlike the vast majority of participating systems in 2012, our approach works over explicit and formal representations of propositional semantics, i.e. derives the notion of negation scope assumed in this task from the structure of logical-form meaning representations. We relate the task-specific interpretation of (negation) scope to the concept of (quantifier and operator) scope in mainstream underspecified semantics. With reference to an explicit encoding of semantic predicate-argument structure, we can operationalize the annotation decisions made for the 2012 *SEM task, and demonstrate how a comparatively simple system for negation scope resolution can be built from an off-the-shelf deep parsing system. In a system combination setting, our approach improves over the best published results on this task to date.",Simple Negation Scope Resolution through Deep Parsing: A Semantic Solution to a Semantic Problem,,Revisiting Shared Task 1: Negation Scope Resolution in Underspecified Semantics with Logical-Form Meaning Represent,Automated Negation Scope Resolution over Explicit and Formal Semantics,Shared Task 1: the Automated Analyse of Negation, Automatic Interpretation of Negation Scope,Revisiting Shared Task 1 from the 2012 *SEM Conference: The Automated Analysis of Negation Scope
38,"A tree-structured multiplicative gamma process (TMGP) is developed, for inferring the depth of a tree-based factor-analysis model. This new model is coupled with the nested Chinese restaurant process, to nonparametrically infer the depth and width (structure) of the tree. In addition to developing the model, theoretical properties of the TMGP are addressed, and a novel MCMC sampler is developed. The structure of the inferred tree is used to learn relationships between high-dimensional data, and the model is also applied to compressive sensing and interpolation of incomplete images.",Tree-Structured Infinite Sparse Factor Model.,Tree-Structured Multiplicative Gamma Processes for Tree-based Factor-Analysis,Tree-Structured Multiplicative Gamma Processes for Inferring Depth and Width in High-Dimensional Factor Analysis Models,Tree-Structured Multiplicative Gamma Processes for Tree-based Factor Analysis,Inferring Tree-Based Factor-Analyse Models, Nested Chinese Restaurant Factor Analysis,
39,"Data-driven refinement of non-terminal categories has been demonstrated to be a reliable technique for improving monolingual parsing with PCFGs. In this paper, we extend these techniques to learn latent refinements of single-category synchronous grammars, so as to improve translation performance. We compare two estimators for this latent-variable model: one based on EM and the other is a spectral algorithm based on the method of moments. We evaluate their performance on a Chinese–English translation task. The results indicate that we can achieve significant gains over the baseline with both approaches, but in particular the momentsbased estimator is both faster and performs better than EM.",Latent-Variable Synchronous CFGs for Hierarchical Translation,,Learning Latent Refinements of Single Category Synchronous Grammars for Statistical Machine Translation with Moments-Based PCFG,Learning Latent Refinements of Synchronous Grammars for Statistical Machine Translation,Learning Latent Raffination of Single-Category Synchronous Grammars, Latent Refinement of Synchronous Grammars for Machine Translation,Learning Latent Refinements of Synchronous Grammars for Statistical Machine Translation
40,"Tree Adjoining Grammars have well-known advantages, but are typically considered too difficult for practical systems. We demonstrate that, when done right, adjoining improves translation quality without becoming computationally intractable. Using adjoining to model optionality allows general translation patterns to be learned without the clutter of endless variations of optional material. The appropriate modifiers can later be spliced in as needed. In this paper, we describe a novel method for learning a type of Synchronous Tree Adjoining Grammar and associated probabilities from aligned tree/string training data. We introduce a method of converting these grammars to a weakly equivalent tree transducer for decoding. Finally, we show that adjoining results in an end-to-end improvement of +0.8 BLEU over a baseline statistical syntax-based MTmodel on a large-scale Arabic/EnglishMT task.",Synchronous Tree Adjoining Machine Translation,Acquiring Synchronous Tree Adjoining Grammars with Application to Machine Translation,Learning Tree Adjoining Grammars from Aligned Tree/String Training Data with Application to Decoding Arabic-to-English,Learning Synchronous Tree Adjoining Grammars for Statistical Machine Translation,A Synchronous Tree Adjoining Grammar with Adjoining, Improving Syntax-Based Machine Translation with Aligned Tree Adjoining Grammars,
41,"Compositional embedding models build a representation for a linguistic structure based on its component word embeddings. While recent work has combined these word embeddings with hand crafted features for improved performance, it was restricted to a small number of features due to model complexity, thus limiting its applicability. We propose a new model that conjoins features and word embeddings while maintaing a small number of parameters by learning feature embeddings jointly with the parameters of a compositional model. The result is a method that can scale to more features and more labels, while avoiding overfitting. We demonstrate that our model attains state-of-the-art results on ACE and ERE fine-grained relation extraction.",Combining Word Embeddings and Feature Embeddings for Fine-grained Relation Extraction,Combining Features and Word Embeddings for Compositional Representation Learning,Joint Learning of Word Embeddings and Features for Compositional Embedding with Application to Linguistic Information Extraction,Scalable Feature Embedding Models for Fine-Grained Relation Extraction,Learning Features and Word Embeddings with Compositional Models,,Joint Learning of Feature Embeddings and Word Embeddings for Fine-grained Relation Extraction
42,"We present a method for recognizing semantic role arguments using a kernel on weighted marked ordered labeled trees (the WMOLT kernel). We extend the kernels on marked ordered labeled trees (Kazama and Torisawa, 2005) so that the mark can be weighted according to its importance. We improve the accuracy by giving more weights on subtrees that contain the predicate and the argument nodes with this ability. Although Kazama and Torisawa (2005) presented fast training with tree kernels, the slow classification during runtime remained to be solved. In this paper, we give a solution that uses an efficient DP updating procedure applicable in argument recognition. We demonstrate that the WMOLT kernel improves the accuracy, and our speed-up method makes the recognition more than 40 times faster than the naive classification.",Semantic Role Recognition Using Kernels on Weighted Marked Ordered Labeled Trees,Fast and Accurate Semantic Role Argument Recognition with Weighted marked Ordered Labeled Trees,Fast Kernel for Recognizing Semantic Role Arguments using Weighted Marked Ordered Labeled Tree Kernels and Fast Training,A Kernel on Weighted Marked Ordered Trees for Semantic Role Argument Recognition,Identifying Semantic Role Arguments using WMOLT Kernels,,Efficient Classification of Semantic Role Arguments Using the WMOLT Kernel on marked-ordered trees
43,"Parsing sentences to linguistically-expressive semantic representations is a key goal of Natural Language Processing. Yet statistical parsing has focussed almost exclusively on bilexical dependencies or domain-specific logical forms. We propose a neural encoder-decoder transition-based parser which is the first full-coverage semantic graph parser for Minimal Recursion Semantics (MRS). The model architecture uses stack-based embedding features, predicting graphs jointly with unlexicalized predicates and their token alignments. Our parser is more accurate than attention-based baselines on MRS, and on an additional Abstract Meaning Representation (AMR) benchmark, and GPU batch processing makes it an order of magnitude faster than a high-precision grammar-based parser. Further, the 86.69% Smatch score of our MRS parser is higher than the upper-bound on AMR parsing, making MRS an attractive choice as a semantic representation.",Robust Incremental Neural Semantic Graph Parsing,Neural Transition-based Semantic Graph Parsing for Minimal Recursion Semantics,Neural Encoder-Decoder Transition-based Parsing of Minimal Recursion Semantic Parsers for Natural Language Processing,A Neural Transition-based Parser for Minimal Recursion Semantics,Full-coverage Semantic Graph Parsing for Minimal Recursion Semantics, Neural Decoding for Minimal Recursion Semantics,
44,"We describe the Iraq Body Count Corpus (IBC-C) dataset, the first substantial armed conflict-related dataset which can be used for conflict analysis. IBCC provides a ground-truth dataset for conflict specific named entity recognition, slot filling, and event de-duplication. IBCC is constructed using data collected by the Iraq Body Count project which has been recording incidents from the ongoing war in Iraq since 2003. We describe the dataset’s creation, how it can be used for the above three tasks and provide initial baseline results for the first task (named entity recognition) using Hidden Markov Models, Conditional Random Fields, and Recursive Neural Networks.",IBC-C: A Dataset for Armed Conflict Analysis,Iraq Body Count Corpus: A Ground-Truth Dataset for Conflict Resolution and Event Deplication,"The Iraq Body Count Corpus: A Dataset for Conflict-related Named Entity Recognition, Slot Filling, and De",Iraq Body Count Corpus: A Ground-truth Dataset for Conflict Analysis and Named Entity Recognition,IBC-C: The Iraq Body Count Corpus,,"The Iraq Body Count Corpus for Named Entity Recognition, Slot Filling, and Event Deduplication"
45,"We derive upper bounds on the generalization error of a learning algorithm in terms of the mutual information between its input and output. The bounds provide an information-theoretic understanding of generalization in learning problems, and give theoretical guidelines for striking the right balance between data fit and generalization by controlling the input-output mutual information. We propose a number of methods for this purpose, among which are algorithms that regularize the ERM algorithm with relative entropy or with random noise. Our work extends and leads to nontrivial improvements on the recent results of Russo and Zou.",Bregman Alternating Direction Method of Multipliers,Generalization Error Bounds on the Input-Output Mutual Information,Generalization Error Bounds on the Generalization Error of Learning Algorithms via Mutual Information Control and Random Noise Regularization.,Generalization Error Bounds for Learning Algorithms with Relative Entropy and Random Noise,Generalization of a Learning Algorithm,,Upper Bounds on the Generalization Error
46,"E cient exploration remains a major challenge for reinforcement learning (RL). Common dithering strategies for exploration, such as ‘-greedy, do not carry out temporally-extended (or deep) exploration; this can lead to exponentially larger data requirements. However, most algorithms for statistically e cient RL are not computationally tractable in complex environments. Randomized value functions o er a promising approach to e cient exploration with generalization, but existing algorithms are not compatible with nonlinearly parameterized value functions. As a first step towards addressing such contexts we develop bootstrapped DQN. We demonstrate that bootstrapped DQN can combine deep exploration with deep neural networks for exponentially faster learning than any dithering strategy. In the Arcade Learning Environment bootstrapped DQN substantially improves learning speed and cumulative performance across most games.",Deep Exploration via Bootstrapped DQN,,Bootstrapped DQN: Bootstrapped Exploration with Deep Neural Networks for Efficient Reinforcement Learning in Complex Environments,Bootstrapped Deep Exploration for Reinforcement Learning in Arcade Games,Bootstrapped DQN for Exponentally Faster Reinforcement Learning, Randomized Value Functions for Efficient Exploration,bootstrappedN: Accelerating Deep Exploration for Reinforcement Learning
47,"Methods for name matching, an important component to support downstream tasks such as entity linking and entity clustering, have focused on alphabetic languages, primarily English. In contrast, logogram languages such as Chinese remain untested. We evaluate methods for name matching in Chinese, including both string matching and learning approaches. Our approach, based on new representations for Chinese, improves both name matching and a downstream entity clustering task.",An Empirical Study of Chinese Name Matching and Applications,Chinese Name Matching in Logogram Languages Using New Representations,Named Entity Clustering and String Matching in Chinese: A Case Study on Alphabetic Languages using Word Vectors,Name Matching in Logogram Languages: A Case Study on Chinese,, Name Matching in Logogram Languages,Name Matching in Chinese: New Representations and Learning
48,"Neural language models are a critical component of state-of-the-art systems for machine translation, summarization, audio transcription, and other tasks. These language models are almost universally autoregressive in nature, generating sentences one token at a time from left to right. This paper studies the influence of token generation order on model quality via a novel two-pass language model that produces partially-filled sentence ""templates"" and then fills in missing tokens. We compare various strategies for structuring these two passes and observe a surprisingly large variation in model quality. We find the most effective strategy generates function words in the first pass followed by content words in the second. We believe these experimental results justify a more extensive investigation of the generation order for neural language models.",The Importance of Generation Order in Language Modeling,The Effect of Token Generation Order on Neural Language Models,,Generation Order in Neural Language Models: A Two-Pass Approach,A Two-Pass Language Model for Neural Language Models, Generating Templates for Neural Language Models,An Empirical Study of the Effect of Generation Order on Neural Language Models
49,"Political identity is often manifested in language variation, but the relationship between the two is still relatively unexplored from a quantitative perspective. This study examines the use of Catalan, a language local to the semi-autonomous region of Catalonia in Spain, on Twitter in discourse related to the 2017 independence referendum. We corroborate prior findings that pro-independence tweets are more likely to include the local language than anti-independence tweets. We also find that Catalan is used more often in referendum-related discourse than in other contexts, contrary to prior findings on language variation. This suggests a strong role for the Catalan language in the expression of Catalonian political identity.","Si O No, Que Penses? Catalonian Independence and Linguistic Identity on Social Media",The role of Catalan in the expression of Catalonian political identity on Twitter,"The use of Catalan, a Language Local to the Semi-Autonomous Region of Catalonia for the expression of Catalonian Political Identity",,The Use of Catalan in Discourse related to the 2017 independence referendum, Language and Political Identity in Catalan,The role of the Catalan language in the expression of Catalonian political identity
50,"Traditionally, Referring Expression Generation (REG) models first decide on the form and then on the content of references to discourse entities in text, typically relying on features such as salience and grammatical function. In this paper, we present a new approach (NeuralREG), relying on deep neural networks, which makes decisions about form and content in one go without explicit feature extraction. Using a delexicalized version of the WebNLG corpus, we show that the neural model substantially improves over two strong baselines.",NeuralREG: An end-to-end approach to referring expression generation,Neural Referring Expression Generation with Deep Neural Networks,,Neural Referring Expression Generation with Deep Neural Networks,Neural Referring Expression Generation with Deep Neural Networks, Neural REG for Referring Expression Generation,Neural REG: A Neural Approach to Referring Expression Generation
51,"Developing natural language processing tools for low-resource languages often requires creating resources from scratch. While a variety of semi-supervised methods exist for training from incomplete data, there are open questions regarding what types of training data should be used and how much is necessary. We discuss a series of experiments designed to shed light on such questions in the context of part-of-speech tagging. We obtain timed annotations from linguists for the low-resource languages Kinyarwanda and Malagasy (as well as English) and evaluate how the amounts of various kinds of data affect performance of a trained POS-tagger. Our results show that annotation of word types is the most important, provided a sufficiently capable semi-supervised learning infrastructure is in place to project type information onto a raw corpus. We also show that finitestate morphological analyzers are effective sources of type information when few labeled examples are available.",Real-World Semi-Supervised Learning of POS-Taggers for Low-Resource Languages,Semi-Supervised Learning of Part-of-Speech Tagging Techniques for Low-Resource Languages,Semi-supervised Part-of-Speech Tagging by Timing-Annotated Annotation of Words into Corpora,How Much Data Do You Need to Train a Semi-Supervised Part-of-Speech Tagger?,Part-of-Speech Tagging with Timed Annotations,,How Much Data Does a Semi-Supervised Part-of-Speech Tagging System Need?
52,"Sentiment lexicons have been leveraged as a useful source of features for sentiment analysis models, leading to the state-of-the-art accuracies. On the other hand, most existing methods use sentiment lexicons without considering context, typically taking the count, sum of strength, or maximum sentiment scores over the whole input. We propose a context-sensitive lexicon-based method based on a simple weighted-sum model, using a recurrent neural network to learn the sentiments strength, intensification and negation of lexicon sentiments in composing the sentiment value of sentences. Results show that our model can not only learn such operation details, but also give significant improvements over state-of-the-art recurrent neural network baselines without lexical features, achieving the best results on a Twitter benchmark.",Context-Sensitive Lexicon Features for Neural Sentiment Analysis,Context-sensitive Sentiment Lexicon Learning with Recurrent Neural Networks,Learning Sentiment Lexicons for Sentiment Analysis using Weighted-Sum Model and Recurrent Neural Networks Based on a Recurrent,Learning Lexical Features for Context-Sensitive Sentiment Analysis with Recurrent Neural Networks,Context-Sensitive Sentiment Lexicons with Recurrent Neural Network,,A Context-sensitive Lexicon-based Sentiment Analysis Method Using Recurrent Neural Networks
53,"Transfer and multi-task learning have traditionally focused on either a single source-target pair or very few, similar tasks. Ideally, the linguistic levels of morphology, syntax and semantics would benefit each other by being trained in a single model. We introduce a joint many-task model together with a strategy for successively growing its depth to solve increasingly complex tasks. Higher layers include shortcut connections to lower-level task predictions to reflect linguistic hierarchies. We use a simple regularization term to allow for optimizing all model weights to improve one task's loss without exhibiting catastrophic interference of the other tasks. Our single end-to-end model obtains state-of-the-art or competitive results on five different tasks from tagging, parsing, relatedness, and entailment tasks.",A Joint Many-Task Model: Growing a Neural Network for Multiple NLP Tasks,A Joint Many-Task Model for Transfer and Multi-Task Learning,Joint Many-Task Transfer and Multi-task Learning with Regularization of Linguistic Hierarchies: A Case Study,Joint Many-Task Learning for Transfer and Multi-Task Tasks,," Joint Many-Task Learning for Morphology, Syntax and Semantics","A Joint Many-Task Model for Morphology, Syntax and Semantics"
54,"Word segmentation is usually recognized as the first step for many Chinese natural language processing tasks, yet its impact on these subsequent tasks is relatively under-studied. For example, how to solve the mismatch problem when applying an existing word segmenter to new data? Does a better word segmenter yield a better subsequent NLP task performance? In this work, we conduct an initial attempt to answer these questions on two related subsequent tasks: semantic slot filling in spoken language understanding and named entity recognition. We propose three techniques to solve the mismatch problem: using word segmentation outputs as additional features, adaptation with partial-learning and taking advantage of n-best word segmentation list. Experimental results demonstrate the effectiveness of these techniques for both tasks and we achieve an error reduction of about 11% for spoken language understanding and 24% for named entity recognition over the baseline systems.",An Empirical Study of Automatic Chinese Word Segmentation for Spoken Language Understanding and Named Entity Recognition,How to Solve the Mismatch Problem in Chinese Word Segmentation,,Solving the Mismatch Problem in Word Segmentation for Spoken Language Understanding and Named Entity Recognition Tasks,Resolving the Mismatch Problem with Semantic Slot Filling in Word Segmentation, Semantic Slot Filling in Spoken Language Understanding and Named Entity Recognition,Solving the Mismatch Problem in Word Segmentation for Spoken Language Understanding and Named Entity Recognition
55,"Transfer learning has been used in opinion analysis to make use of available language resources for other resource scarce languages. However, the cumulative class noise in transfer learning adversely affects performance when more training data is used. In this paper, we propose a novel method in transductive transfer learning to identify noises through the detection of negative transfers. Evaluation on NLP&CC 2013 cross-lingual opinion analysis dataset shows that our approach outperforms the state-of-the-art systems. More significantly, our system shows a monotonic increase trend in performance improvement when more training data are used.",Cross-lingual Opinion Analysis via Negative Transfer Detection,Detecting Negative Transfer Effects in Transductive Transfer Learning.,Detecting Noise in Transfer Learning for Cross-Lingual Opinion Analysis of Negative Transfers: A Case Study on N,Identifying Class Noise in Transductive Transfer Learning for Cross-lingual Opinion Analysis,Negative Class Noise Detection in Transductive Transfer Learning, Transductive Transfer Learning for Cross-Lingual Opinion Analysis,
56,"We define the problem of recognizing entailed relations – given an open set of relations, find all occurrences of the relations of interest in a given document set – and pose it as a challenge to scalable information extraction and retrieval. Existing approaches to relation recognition do not address well problems with an open set of relations and a need for high recall: supervised methods are not easily scaled, while unsupervised and semi-supervised methods address a limited aspect of the problem, as they are restricted to frequent, explicit, highly localized patterns. We argue that textual entailment (TE) is necessary to solve such problems, propose a scalable TE architecture, and provide preliminary results on an Entailed Relation Recognition task.",A Framework for Entailed Relation Recognition,Relation Recognition with Textual Entailment: A Scalable Approach,Recognizing Entailed Relation Recognition with Textual Entailment and Semi-Supervised Methods. A Scalable Architecture,,Adaptive Textual Entailment for Entailed Relation Recognition, Towards Scalable Information Extraction and Retrieval,Textual Entailment for Open-Set Relation Recognition
57,"Aspect term extraction aims to extract aspect terms from review texts as opinion targets for sentiment analysis. One of the big challenges with this task is the lack of sufficient annotated data. While data augmentation is potentially an effective technique to address the above issue, it is uncontrollable as it may change aspect words and aspect labels unexpectedly. In this paper, we formulate the data augmentation as a conditional generation task: generating a new sentence while preserving the original opinion targets and labels. We propose a masked sequence-to-sequence method for conditional augmentation of aspect term extraction. Unlike existing augmentation approaches, ours is controllable and allows to generate more diversified sentences. Experimental results confirm that our method alleviates the data scarcity problem significantly. It also effectively boosts the performances of several current models for aspect term extraction.",Conditional Augmentation for Aspect Term Extraction via Masked Sequence-to-Sequence Generation,Conditional Augmentation of Aspect Term Extraction as a Conditional Generation Task,Conditional Augmentation of Aspect Term Extraction: A Masked Sequence-to-Sequence Method for Sentiment Analysis,Conditional Augmentation of Aspect Term Extraction via Conditional Generation,Aspect term Extraction with Conditional Error,,Conditional Aspect Term Extraction via Masked Sequence-to-Sequence Generation
58,"Spoken monologues feature greater sentence length and structural complexity than do spoken dialogues. To achieve high parsing performance for spoken monologues, it could prove effective to simplify the structure by dividing a sentence into suitable language units. This paper proposes a method for dependency parsing of Japanese monologues based on sentence segmentation. In this method, the dependency parsing is executed in two stages: at the clause level and the sentence level. First, the dependencies within a clause are identified by dividing a sentence into clauses and executing stochastic dependency parsing for each clause. Next, the dependencies over clause boundaries are identified stochastically, and the dependency structure of the entire sentence is thus completed. An experiment using a spoken monologue corpus shows this method to be effective for efficient dependency parsing of Japanese monologue sentences.",Dependency Parsing of Japanese Spoken Monologue Based on Clause Boundaries,Dependency Parsing of Japanese Monologues Based on Sentence Segmentation,Dependency Parsing of Japanese Monologue Sentences Using Sentence Segmentation and Stochastic Dependency Parser,Sentence Segmentation for Dependency Parsing of Japanese Monologues,, Dependency Parsing of Japanese Monologues Using Sentence Segmentation,Dependency Parsing of Japanese Spoken Monologues Based on Sentence Segmentation
59,"We address the task of Named Entity Disambiguation (NED) for noisy text. We present WikilinksNED, a large-scale NED dataset of text fragments from the web, which is significantly noisier and more challenging than existing news-based datasets. To capture the limited and noisy local context surrounding each mention, we design a neural model and train it with a novel method for sampling informative negative examples. We also describe a new way of initializing word and entity embeddings that significantly improves performance. Our model significantly outperforms existing state-of-the-art methods on WikilinksNED while achieving comparable performance on a smaller newswire dataset.",Named Entity Disambiguation for Noisy Text,A Large-Scale Named Entity Disambiguation Dataset for Noisy Text,Named Entity Disambiguation for Noisy Text: A Novelty-Based Neural Model for Extracting Informative Examples,WikilinksNED: Noisy Named Entity Disambiguation for Noisy Text,Named Entity Disambiguation for Noise-Free Text,,WikilinksNED: A Large-Scale Named Entity Disambiguation Dataset
60,"In neural abstractive summarization, the conventional sequence-to-sequence (seq2seq) model often suffers from repetition and semantic irrelevance. To tackle the problem, we propose a global encoding framework, which controls the information flow from the encoder to the decoder based on the global information of the source context. It consists of a convolutional gated unit to perform global encoding to improve the representations of the source-side information. Evaluations on the LCSTS and the English Gigaword both demonstrate that our model outperforms the baseline models, and the analysis shows that our model is capable of generating summary of higher quality and reducing repetition.",Global Encoding for Abstractive Summarization,,A Global Encoding Framework for Neural Abstractive Summarization Based on the Source-side Information from Seq2Seq,A Global Encoding Framework for Neural Abstractive Summarization,Global Encoding for Sequence-to-Sequence Summarization, Global Encoding for Neural Abstractive Summarization,Global Parser for Neural Abstractive Summarization
61,"The ability to consolidate information of different types is at the core of intelligence, and has tremendous practical value in allowing learning for one task to benefit from generalizations learned for others. In this paper we tackle the challenging task of improving semantic parsing performance, taking UCCA parsing as a test case, and AMR, SDP and Universal Dependencies (UD) parsing as auxiliary tasks. We experiment on three languages, using a uniform transition-based system and learning architecture for all parsing tasks. Despite notable conceptual, formal and domain differences, we show that multitask learning significantly improves UCCA parsing in both in-domain and out-of-domain settings.",Multitask Parsing Across Semantic Representations,Multitask Learning Improves UCCA Parsing,Multitask Learning for UCCA Parsing with Transition-based System and Learning for Improved Semantic Parsing Tasks,Multitask Multitask Learning for Semantic Parsing,Multitask Learning for Semantic Parsing and Universal Dependency Parsing, Improving Semantic Parsing Performance by Multitask Learning,
62,"Polysemy is a major characteristic of natural languages. Like words, syntactic forms can have several meanings. Understanding the correct meaning of a syntactic form is of great importance to many NLP applications. In this paper we address an important type of syntactic polysemy – the multiple possible senses of tense syntactic forms. We make our discussion concrete by introducing the task of Tense Sense Disambiguation (TSD): given a concrete tense syntactic form present in a sentence, select its appropriate sense among a set of possible senses. Using English grammar textbooks, we compiled a syntactic sense dictionary comprising common tense syntactic forms and semantic senses for each. We annotated thousands of BNC sentences using the defined senses. We describe a supervised TSD algorithm trained on these annotations, which outperforms a strong baseline for the task.",Tense Sense Disambiguation: A New Syntactic Polysemy Task,,Tense Sense Disambiguation: An Important Syntactic Polysemy Dictionary Based on Grammar and Semantic Senses,Tense Sense Disambiguation: Multiple Senses of Tense Syntactic Forms,Tense Sense Disambiguation for Syntactic Forms, Tense Sense Disambiguation for Syntactic Polysemy,Tense Sense Disambiguation: A Case Study in English Grammar
63,"Sentence compression techniques often assemble output sentences using fragments of lexical sequences such as ngrams or units of syntactic structure such as edges from a dependency tree representation. We present a novel approach for discriminative sentence compression that unifies these notions and jointly produces sequential and syntactic representations for output text, leveraging a compact integer linear programming formulation to maintain structural integrity. Our supervised models permit rich features over heterogeneous linguistic structures and generalize over previous state-of-theart approaches. Experiments on corpora featuring human-generated compressions demonstrate a 13-15% relative gain in 4gram accuracy over a well-studied language model-based compression system.",Sentence Compression with Joint Structural Inference,Discriminative Sentence Compression with Compact Integer Programming Formulations,,Discriminative Sentence Compression with Sequential and Syntactic Representations,Discriminative Sentence Compression with Sequential and Syntactic Representations, Discriminative Sentence Compression with Compact Integer Linear Programming,Joint Sequential and Syntactic Representations for Discriminative Sentence Compression
64,"Fast alignment is essential for many natural language tasks. But in the setting of monolingual alignment, previous work has not been able to align more than one sentence pair per second. We describe a discriminatively trained monolingual word aligner that uses a Conditional Random Field to globally decode the best alignment with features drawn from source and target sentences. Using just part-of-speech tags and WordNet as external resources, our aligner gives state-of-the-art result, while being an order-of-magnitude faster than the previous best performing system.",A Lightweight and High Performance Monolingual Word Aligner,A Discriminatively trained Monolingual Word Aligner,Fast Alignment of Monolingual Word Aligners with Conditional Random Fields and External Resources using Part-of-Spe,Fast Monolingual Word Alignment with Conditional Random Fields,, A Discriminatively-trained Monolingual Word Aligner,Fast Monolingual Word Alignment using Conditional Random Fields.
65,"We introduce XMEANT—a new cross-lingual version of the semantic frame based MT evaluation metric MEANT—which can correlate even more closely with human adequacy judgments than monolingual MEANT and eliminates the need for expensive human references. Previous work established that MEANT reflects translation adequacy with state-of-the-art accuracy, and optimizing MT systems against MEANT robustly improves translation quality. However, to go beyond tuning weights in the loglinear SMT model, a cross-lingual objective function that can deeply integrate semantic frame criteria into the MT training pipeline is needed. We show that cross-lingual XMEANT outperforms monolingual MEANT by (1) replacing the monolingual context vector model in MEANT with simple translation probabilities, and (2) incorporating bracketing ITG con-",XMEANT: Better semantic MT evaluation without reference translations,,XMEANT: A Cross-Lingual MT Evaluation Metric for Semantic Frame-based MT Evaluation with Monoling,XMEANT: Cross-lingual MT Evaluation Metric Based on Semantic Frame Criteria,Cross-lingual XMEANT: A Cross-Lingual Version of the Semantic Frame based Evaluation Metric, Cross-Lingual Evaluation Metric Meant,Cross-lingual Meant for Machine Translation Evaluation
66,"Pre-trained text encoders have rapidly advanced the state of the art on many NLP tasks. We focus on one such model, BERT, and aim to quantify where linguistic information is captured within the network. We find that the model represents the steps of the traditional NLP pipeline in an interpretable and localizable way, and that the regions responsible for each step appear in the expected sequence: POS tagging, parsing, NER, semantic roles, then coreference. Qualitative analysis reveals that the model can and often does adjust this pipeline dynamically, revising lower-level decisions on the basis of disambiguating information from higher-level representations.",BERT Rediscovers the Classical NLP Pipeline,BERT: An Interpretable and Localized Model for Pre-trained Neural Language Processing,BERT: Quantifying the Role of Linguistic Information in Pre-trained Text Encoders for Coreference and POS,,BERT: An Interpretable and Localizable Model for Pre-Trained Text Encoding, Bert: A Localizable Model for Text Representation,BERT: Where and When Are We Near the End of NLP?
