,id,abstract,title,humor
34,243,“Wiggle-matching” is a technique developed to provide calendar dates for a series of samples of known deposition rate using the now well-established high-precision radiocarbon calibration curve. In this paper we describe how the technique may be formulated within the Bayesian framework for statistical analysis and thereby permit the incorporation of uncertainties regarding the deposition rate. The methodology is illustrated by two archaeological examples.,A bayesian approach to wiggle-matching,-0.75
35,246,"Animals, including dogs, dolphins, monkeys and man, follow gaze. What mediates this bias towards the eyes? One hypothesis is that primates possess a distinct neural module that is uniquely tuned for the eyes of others. An alternative explanation is that configural face processing drives fixations to the middle of peoples' faces, which is where the eyes happen to be located. We distinguish between these two accounts. Observers were presented with images of people, non-human creatures with eyes in the middle of their faces (`humanoids') or creatures with eyes positioned elsewhere (`monsters'). There was a profound and significant bias towards looking early and often at the eyes of humans and humanoids and also, critically, at the eyes of monsters. These findings demonstrate that the eyes, and not the middle of the head, are being targeted by the oculomotor system.",Monsters are people too,0.75
36,256,"Although the ability to sense skin wetness and humidity is critical for behavioral and autonomic adaptations, humans are not provided with specific skin receptors for sensing wetness. It has been proposed that we “learn” to perceive the wetness experienced when the skin is in contact with a wet surface or when sweat is produced through a multisensory integration of thermal and tactile inputs generated by the interaction between skin and moisture. However, the individual roles of thermal and tactile cues and how these are integrated peripherally and centrally by our nervous system is still poorly understood. Here we tested the hypothesis that the central integration of coldness and mechanosensation, as subserved by peripheral A-nerve afferents, might be the primary neural process underpinning human wetness sensitivity. During a quantitative sensory test, we found that individuals perceived warm-wet and neutral-wet stimuli as significantly less wet than cold-wet stimuli, although these were characterized by the same moisture content. Also, when cutaneous cold and tactile sensitivity was diminished by a selective reduction in the activity of A-nerve afferents, wetness perception was significantly reduced. Based on a concept of perceptual learning and Bayesian perceptual inference, we developed the first neurophysiological model of cutaneous wetness sensitivity centered on the multisensory integration of cold-sensitive and mechanosensitive skin afferents. Our results provide evidence for the existence of a specific information processing model that underpins the neural representation of a typical wet stimulus. These findings contribute to explaining how humans sense warm, neutral, and cold skin wetness.",Why wet feels wet? A neurophysiological model of human cutaneous wetness sensitivity,0.0
37,277,"There is indirect evidence that heightened exposure to early androgen may increase the probability that a girl will develop a homosexual orientation in adulthood. One such putative marker of early androgen exposure is the ratio of the length of the index finger (2D) to the ring finger (4D), which is smaller in male humans than in females, and is smaller in lesbians than in heterosexual women. Yet there is also evidence that women may have different sexual orientations at different times in their lives, which suggests that other influences on female sexual orientation, presumably social, are at work as well. We surveyed individuals from a gay pride street fair and found that lesbians who identified themselves as ""butch"" had a significantly smaller 2D:4D than did those who identified themselves as ""femme."" We conclude that increased early androgen exposure plays a role in only some cases of female homosexuality, and that the sexual orientation of ""femme"" lesbians is unlikely to have been influenced by early androgens.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ","Differences in finger length ratios between self-identified ""butch"" and ""femme"" lesbians                                           ",0.25
38,287,"Previous research has shown that trait concepts and stereotypes become active automatically in the presence of relevant behavior or stereotyped-group features. Through the use of the same priming procedures as in previous impression formation research, Experiment 1 showed that participants whose concept of rudeness was primed interrupted the experimenter more quickly and frequently than did participants primed with polite-related stimuli. In Experiment 2, participants for whom an elderly stereotype was primed walked more slowly down the hallway when leaving the experiment than did control participants, consistent with the content of that stereotype. In Experiment 3, participants for whom the African American stereotype was primed subliminally reacted with more hostility to a vexatious request of the experimenter. Implications of this automatic behavior priming effect for self-fulfilling prophecies are discussed, as is whether social behavior is necessarily mediated by conscious choice processes.",Automaticity of social behavior: Direct effects of trait construct and stereotype activation on action.,-0.75
39,294,This paper investigates the perception of emotional force of swearwords and taboo words (S-T words) among 1039 multilinguals. It is based on data drawn from a large database collected through a web questionnaire on bilingualism and emotions. t -Tests revealed that the perceived emotional force of S-T words is highest in the L1 and gradually lower in languages learned subsequently. Self-reported L1 attriters were found to judge S-Twords in their L1 to be less powerful than those who are still dominant in their L1. Participants who learned their language(s) in a naturalistic or partly naturalistic context gave higher ratings on emotional force of S-T words in that language than instructed language learners. Self-rated proficiency in a language and frequency of use of language significantly predicted perception of emotional force of S-T words. Age of onset of learning was found to only predict perception of emotional force of S-T words in the L2.,The Emotional Force of Swearwords and Taboo Words in the Speech of Multilinguals,-0.75
40,303,"This study explores the organizational impact of a variety of important promotion systems commonly practiced in organizations including up-or-out systems, absolute merit-based systems, relative merit-based systems, and seniority-based systems. Through the computer simulation of organizations in a distributed decision making setting, the results indicate that the effectiveness of any promotion system is dependent on a range of factors including the nature of the task environment, the design of the organizational structure, the frequency of monitoring, the criteria of performance, and the transferability of task knowledge. This study has implications not only for understanding organizational promotion systems from the contingency perspective, but also for bridging the fields of strategic human resource management and computational organization theory.",Promotion Systems and Organizational Performance: A Contingency Model.,-0.75
41,307,"Superheroes have a considerable presence in our society and dominate popular media for boys and men, while often representing unattainable muscular ideals. The present research is the first to examine the effects of superheroes on men's body image and the moderating role of parasocial relationship status (PSR; a one-sided psychological bond) on those effects. Men who had vs. did not have a PSR with a superhero were exposed to a muscular vs. non-muscular image of that superhero. As predicted, exposure to a muscular superhero with whom a PSR did not exist made men feel bad about their bodies (Hypothesis 1). However, having a PSR with a muscular superhero not only eliminated the negative effects of exposure on body satisfaction, but also increased men's physical strength (Hypothesis 2). This research suggests that muscular superheroes change men's body image and that the direction of that change is determined by PSR status                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ",Batman to the rescue! The protective effects of parasocial relationships with muscular superheroes on men's body image,1.0
42,309,"Sex and agreeableness were hypothesized to affect income, such that women and agreeable individuals were hypothesized to earn less than men and less agreeable individuals. Because agreeable men disconfirm (and disagreeable men confirm) conventional gender roles, agreeableness was expected to be more negatively related to income for men (i.e., the pay gap between agreeable men and agreeable women would be smaller than the gap between disagreeable men and disagreeable women). The hypotheses were supported across 4 studies. Study 1 confirmed the effects of sex and agreeableness on income and that the agreeableness-income relationship was significantly more negative for men than for women. Study 2 replicated these results, controlling for each of the other Big Five traits. Study 3 also replicated the interaction and explored explanations and paradoxes of the relationship. A 4th study, using an experimental design, yielded evidence for the argument that the joint effects of agreeableness and gender are due to backlash against agreeable men.",Do Nice Guys-and Gals-Really Finish Last? The Joint Effects of Sex and Agreeableness on Income,0.5
43,318,"Singing is a cultural universal and an important part of modern society, yet many people fail to sing in tune. Many possible causes have been posited to explain poor singing abilities; foremost among these are poor perceptual ability, poor motor control, and sensorimotor mapping errors. To help discriminate between these causes of poor singing, we conducted 5 experiments testing musicians and nonmusicians in pitch matching and judgment tasks. Experiment 1 introduces a new instrument called a slider, on which participants can match pitches without using their voice. Pitch matching on the slider can be directly compared with vocal pitch matching, and results showed that both musicians and nonmusicians were more accurate using the slider than their voices to match target pitches, arguing against a perceptual explanation of singing deficits. Experiment 2 added a self-matching condition and showed that nonmusicians were better at matching their own voice than a synthesized voice timbre, but were still not as accurate as on the slider. This suggests a timbral translation type of mapping error. Experiments 3 and 4 demonstrated that singers do not improve over multiple sung responses, or with the aid of a visual representation of pitch. Experiment 5 showed that listeners were more accurate at perceiving the pitch of the synthesized tones than actual voice tones. The pattern of results across experiments demonstrates multiple possible causes of poor singing, and attributes most of the problem to poor motor control and timbral-translation errors, rather than a purely perceptual deficit, as other studies have suggested.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ",A frog in your throat or in your ear? Searching for the causes of poor singing,1.0
44,322,"In order to examine the relative influence of size-based expectancies and social cues on the perceived weight of objects, two studies were performed, using equally weighing dolls differing in sex-related and age-related vulnerability or physical strength cues. To increase variation in perceived size, stimulus objects were viewed through optical lenses of varying reducing power. Different groups of participants were required to provide magnitude estimates of perceived size, physical strength, or weight, or of expected weight. A size–weight illusion (SWI) was demonstrated, such that smaller objects felt heavier than larger ones, that was entirely accounted for by the mediating role of expected weight. Yet, perceived physical strength exerted an additional and more reactive influence on perceived weight independently of measured expectancies. Results are used to clarify the nature of “embodied”, internal sensory–motor representations of physical and social properties.",Why Barbie feels heavier than Ken: The influence of size-based expectancies and social cues on the illusory perception of weight,0.5
45,323,"Although positive effect of touch on restaurant's tipping has been widely found in the literature, no evaluation was made outside the United States of America and in a bar. An experiment was carried out in a French bar. A waitress briefly touched (or not) the forearm of a patron when asking him/her what he/she want to drink. Results show that touch increases tipping behavior although giving a tip to a waitress in a bar is unusual in France. The familiarity of tactile contact in France was used to explain our results.",The effect of touch on tipping: an evaluation in a French bar,0.25
46,344,"Several turbulence models are available in the literature, and each model has its own unique features. To establish the most appropriate model for characterizing the flow field in a multiple-occupancy ventilated space; five different turbulence models are evaluated. The turbulence models studied are: (1) the standard κ−ε model, (2) the RNG κ−ε model, (3) the Low-Reynolds-Number κ−ε model, (4) the κ–ω model, and (5) the Reynolds Stress Model (RSM). Based on convergence and computational stability criteria, the RNG κ−ε model was found to be the most appropriate model that characterizes the flow field in a ventilated space occupied by ten cows positioned at random. The micro-flow field associated with each cow was used to simulate heat exchange between the animal and its environment. A coupled heat and mass transfer model was developed to simulate the heat exchange. The total heat loss from the cows varied approximately between 215 and 710 W because of variations in flow fields surrounding the animals.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ",Characterization of flow field in a ventilated space and simulation of heat exchange between cows and their environment,-0.25
47,359,"This paper presents an investigation into how people respond to a robot posing as an author- ity figure, giving commands. This is an increasingly important question as robots continue to become more autonomous and capable and participate in more task scenarios where they work with people. We designed and conducted a human-robot interaction obedience experiment with a human and a robot ex- perimenter, and our results highlight the complexity of obedience and detail some of the variables in- volved, and show that, at the very least, people can be pressured by a robot to continue a highly tedious task. This paper offers an exploration of the ethical challenges of conducting obedience human-robot in- teraction studies, the results from one such study, and a set of initial guidelines for this area of research.",Would You Do as a Robot Commands? An Obedience Study for Human-Robot Interaction,0.25
48,396,"We consider two well known constructions of link invariants. One uses skein theory: you resolve each crossing of the link as a linear combination of things that don't cross, until you eventually get a linear combination of links with no crossings, which you turn into a polynomial. The other uses quantum groups: you construct a functor from a topological category to some category of representations in such a way that (directed framed) links get sent to endomorphisms of the trivial representation, which are just rational functions. Certain instances of these two constructions give rise to essentially the same invariants, but when one carefully matches them there is a minus sign that seems out of place. We discuss exactly how the constructions match up in the case of the Jones polynomial, and where the minus sign comes from. On the quantum group side, one is led to use a non-standard ribbon element, which then allows one to consider a larger topological category.",A minus sign that used to annoy me but now I know why it is there,0.75
49,398,"The issue of emotion recognition in real-life settings, lacking a clear criterion of the nature of the underlying emotion, is raised. After reporting their luggage lost, 110 airline passengers were asked to rate their emotional state (subjective feeling criterion). The agents who had processed the claims were asked to rate the passengers' emotional state (objective behavior criterion) as well as their own feelings. An excerpt of the videotaped interaction for 40 passengers was rated for emotional state by judges on the basis of (a) verbal and nonverbal cues or (b) nonverbal cues only. As predicted, the data show that judges' inferences in both exposure conditions correlate more strongly with the objective behavior (agent ratings) than the subjective feeling criterion (self-ratings). Using the Facial Action Coding System, objectively coded ""felt"" (but not false) smiles correlated positively with a good humor scale in both criteria and judges' ratings.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ",Criteria for emotion recognition from verbal and nonverbal expression: Studying baggage loss in the airport.,0.5
50,406,"Recent research has revealed that variation in human dancing ability is related to levels of fluctuating asymmetry, and that women rate symmetrical male dancers more positively. We measured the lengths of the 2nd (index) and 4th (ring) finger in a sample of young men and recorded short digital video clips of their dance movements. A panel of 104 female judges rated 12 clips of men with the lowest and highest finger-length ratios (2D:4D) for attractiveness, dominance, and masculinity. We found that dances by men with low (masculinised) 2D:4D ratios were rated significantly higher on attractiveness, dominance, and masculinity than dancers with high (feminised) 2D:4D. There were no significant differences between the two groups of dancers for age and other physical measures such as waist-to-hip ratio (WHR) and body-mass-index (BMI). Since there is evidence that finger-length ratios negatively correlate with testosterone exposure in utero, male dancing abilities may be organized early during development. Moreover, women’s ability to perceive differences in dance movement of men with low and high 2D:4D may indicate that dance provides some cues to phenotypic condition, relevant for sexual selection.",A preliminary investigation of the associations between digit ratio and women’s perception of men’s dance,-0.25
51,1113,"Current machine learning and discovery techniques focus on discovering rules or regularities that exist in data. An important aspect of the research that has been ignored in the past is the learning or discovering of interesting holes in the database. If we view each case in the database as a point in a it-dimensional space, then a hole is simply a region in the space that contains no data point. Clearly, not every hole is interesting.  Some holes are obvious because it is known that certain value combinations are not possible.  Some holes exist because there are insufficient cases in the database. However, in some situations, empty regions do carry important information. For instance, they could warn us about some missing value combinations that are either not known before or are unexpected. Knowing these missing value combinations may lead to significant discoveries. In this paper, we propose an algorithm to discover holes in databases",Discovering Interesting Holes in Data.,0.25
52,830,"Memos are a simple and effective form of communication in the health care system. Memos can strengthen group performance and praise individual behavior. However, all too frequently memos can be time-consuming, inefficient, and even harmful to effective interpersonal communication. The prudent manager should guard against a memo that is too long, will be taken offensively, will be perceived as negative, or is written when the manager is angry. In the long run, verbal communication is usually more effective than a memo delivered in haste.","Send me a memo on it; or better yet, don't",0.5
53,841,"IN a previous communication, a preliminary account was given of observations and experiments on the relative edibility of the flesh of birds. Full details of this research have now been published elsewhere. During the past two years, this work has been extended to an investigation of the relative edibility of ‘birds eggs. Final results of the inquiry, which is still in progress, will not be available for some time; but since, with the exception of a paper by C. F. M. Swynnerton published in 1916, the subject appears hitherto to have remained almost unexplored, it would now seem appropriate to summarize the new observations and to indicate certain conclusions to be drawn from them.",Edibility of the Eggs of Birds.,-0.5
54,845,"Right seat-side preference in a cinema has been explained by suggesting that it allows for emotional information processing by the right hemisphere (Karev, 2000). In order to determine seat-side preferences, participants in our experiments had to choose seats on cinema, theatre, and restaurant maps. The maps varied with respect to cinema screen, theatre stage, and restaurant entrance positions as viewed by the participants: on top, to the right, to the left, and at the bottom. Seat-side preference was found to be modified by the map's arrangement: With screen, stage, or entrance on top, participants preferred seats to the right of the screen, stage, or entrance, while for the other positions the results were not conclusive. Based on these results it cannot be concluded that the preference for a cinema seat is solely mediated by the preparation for an upcoming event to optimise emotional processing by the right hemisphere. Rather, seat choice seems to be determined by basic behavioural tendencies, such as which side to turn to when entering a room, or by visual attentional orientation.",How to Choose a Seat in Theatres: Always Sit on the Right Side?,-0.5
55,866,"Heights and weights of right- and left-handed major league baseball pitchers (N=5780) were analyzed, adjusted for birth year. Right-handed pitchers were about 1.6 cm taller and 1.9 kg heavier than left-handed pitchers. The results corroborated other studies and suggest body size is related to handedness, although the average difference in height between right- and left-handed pitchers was very small.",Lefties are still a little shorter,0.25
56,868,"A new measure of consumption, garbage, is more volatile and more correlated with stocks than the canonical measure, National Income and Product Accounts (NIPA) consumption expenditure. A garbage-based consumption capital asset pricing model matches the U.S. equity premium with relative risk aversion of 17 versus 81 and evades the joint equity premium-risk-free rate puzzle. These results carry through to European data. In a cross-section of size, value, and industry portfolios, garbage growth is priced and drives out NIPA expenditure growth",Asset Pricing with Garbage,0.0
57,874,"Can criminal profit-seeking generate socially desirable outcomes? This article investigates this question by examining the economics of pirate tolerance. At a time when British merchant ships treated black slaves as slaves, some pirate ships integrated black bondsmen into their crews as full-fledged, free members. This tolerance was not the product of enlightened notions of equality. Instead, pirate self-interest seeking in the context of the criminally determined costs and benefits of pirate slavery was responsible for pirates' progressive racial practices. Analogous to Adam Smith's invisible hand, whereby lawful commercial self-interest seeking can generate socially desirable outcomes, among pirates there was an ""invisible hook,"" whereby criminal self-interest seeking produced a socially desirable outcome in the form of racial tolerance.",The Invisible Hook: The Law and economics of Pirate Tolerance.,1.0
58,891,"There are two conflicting perspectives regarding the relationship between profanity and dishonesty. These two forms of norm-violating behavior share common causes and are often considered to be positively related. On the other hand, however, profanity is often used to express one’s genuine feelings and could therefore be negatively related to dishonesty. In three studies, we explored the relationship between profanity and honesty. We examined profanity and honesty first with profanity behavior and lying on a scale in the lab (Study 1; N = 276), then with a linguistic analysis of real-life social interactions on Facebook (Study 2; N = 73,789), and finally with profanity and integrity indexes for the aggregate level of U.S. states (Study 3; N = 50 states). We found a consistent positive relationship between profanity and honesty; profanity was associated with less lying and deception at the individual level and with higher integrity at the society level.","Frankly, We Do Give a Damn: The Relationship Between Profanity and Honesty",0.5
59,898,"In five studies, we explored whether power increases moral hypocrisy (i.e., imposing strict moral standards on other people but practicing less strict moral behavior oneself). In Experiment 1, compared with the powerless, the powerful condemned other people's cheating more, but also cheated more themselves. In Experiments 2 through 4, the powerful were more strict in judging other people's moral transgressions than in judging their own transgressions. A final study found that the effect of power on moral hypocrisy depends on the legitimacy of the power: When power was illegitimate, the moral-hypocrisy effect was reversed, with the illegitimately powerful becoming stricter in judging their own behavior than in judging other people's behavior. This pattern, which might be dubbed hypercrisy, was also found among low-power participants in Experiments 3 and 4. We discuss how patterns of hypocrisy and hypercrisy among the powerful and powerless can help perpetuate social inequality.","Power increases hypocrisy: moralizing in reasoning, immorality in behavior.",-1.0
60,913,"Sex differences in risk seeking behaviour, emergency hospital admissions, and mortality are well documented. However, little is known about sex differences in idiotic risk taking behaviour. This paper reviews the data on winners of the Darwin Award over a 20 year period (1995-2014). Winners of the Darwin Award must eliminate themselves from the gene pool in such an idiotic manner that their action ensures one less idiot will survive. This paper reports a marked sex difference in Darwin Award winners: males are significantly more likely to receive the award than females (P<0.0001). We discuss some of the reasons for this difference.",The Darwin Awards: sex differences in idiotic behaviour,1.0
61,914,"The influence of social and cognitive developmental processes on the construction of social reputation was assessed by having first-, third-, and fifth-grade (mean age of 7-0, 8-11, and 10-11, respectively) boys and girls (N = 182), identified as to sociometric status, provide free descriptions of their classmates. These descriptions were aggregated by subject (descriptions made by a child) and by target (descriptions made about a child). Discriminant analyses revealed that rejected children were segregated from their peers by negative attitudes and peer ostracism; this social reputation was more distinct for older rejected children than younger rejected children. In contrast, neglected children were perceived in less distinctive reputational terms but, unlike rejected children, were notable for perceiving peers differently. Older children were more likely than younger children to describe the reputations of their peers with complex trait concepts. Sex differences included the following: rejected boys were perceived as having characteristics polar opposite to accepted qualities for girls, whereas rejected girls were perceived as having characteristics polar opposite to acceptable qualities for boys. The social implications of cognitive developmental change and the developmental implications of social differentiation among peers were discussed.",Children's Perceptions of Peer Reputations and Their Social Reputations Among Peers,-1.0
62,919,"This paper investigates metaphor in the language of economics, in particular, the way the vicissitudes of the Hong Kong financial markets are reported in the press. It analyzes the content from an English for Specific Purposes (ESP) perspective, probing for the significance in the negotiation of meaning in the subject area. Text samples were collected from the local Hong Kong media over 5 months in 1994. The perception of metaphor has changed in recent years from a rather obscure area of literary style to a central psycho-linguistic process intimately concerned with the way that reality is constructed through language. A number of subject domains are identified, including anthropomorphism, gravity, fauna, sports, and sentimentality. Findings suggest that metaphor is central to the definition of basic economic constructs; it has a role in making abstruse theoretical concepts accessible to readers or merely to interest or entertain. Metaphor functions here not only as a stylistic device, but is fundamental to the perceptions of both academics and professionals in the field.",How High Can a Dead Cat Bounce?: Metaphor and the Hong Kong Stock Market,1.0
63,920,"Relying on the methodology of conversation analysis, this article examines a practice in ordinary conversation characterized by the resaying of a word, phrase, or sentence. The article shows that multiple sayings such as “No no no” or “Alright alright alright” are systematic in both their positioning relative to the interlocutor's talk and in their function. Specifically, the findings are that multiple sayings are a resource speakers have to display that their turn is addressing an in progress course of action rather than only the just prior utterance. Speakers of multiple sayings communicate their stance that the prior speaker has persisted unnecessarily in the prior course of action and should properly halt course of action.",No no no and Other Types of Multiple Sayings in Social Interaction.,0.5
64,925,"Honesty is a crucial aspect of a trusting parent–child relationship. Given that close relationships often impair our ability to detect lies and are related to a truth bias, parents may have difficulty with detecting their own children’s lies. The current investigation examined the lie detection abilities (accuracy, biases, and confidence) of three groups of participants: non-parent group (undergraduates), parent–other group (parents who evaluated other peoples' children’s statements), and parent–own group (parents who evaluated their own children’s statements). Participants were presented with videos of 8- to 16-year-olds telling either the truth or a lie about having peeked at the answers to a test and were asked to evaluate the veracity of the statement along with their confidence in their judgment. All groups performed at chance in the accuracy of their veracity judgments. Furthermore, although all groups tended to hold a truth bias for 8- to 16-year-olds, the parent–own group held a much stronger truth bias than the other two groups. All groups were also highly confident in their judgments (70%–76%), but confidence ratings failed to predict accuracy. These findings, taken together, suggest that the close relationship that parents share with their own children may be related to a bias toward believing their children’s statements and, hence, a failure to detect their lies.","Can parents detect 8- to 16-year-olds' lies? Parental biases, confidence, and accuracy.",-0.25
65,927,"Children imitating adults often appear to indulge in harmless fun, however at times these activities have more serious implications. The recent fashion of body piercing among adults has encouraged children to have similar procedures or imitate them by applying small magnets to sustain the jewellery used in piercing in position. This paper describes a series of 24 cases presented to the Sheffield Children's Hospital over a period of eight weeks. The children imitated body piercing by using small powerful magnets across parts of their body including nose, ears, penis, and tongue. Some swallowed the magnets while attempting to use them, resulting in one near fatal surgical complication. The paper describes the details of the patients, the procedures used to detect the magnets, and the management of the different complications encountered.",Children and mini-magnets: an almost fatal attraction,0.75
66,928,"Para-social behavior is a form of quasi-interpersonal behavior that results when audience members develop bonds with media personalities that can resemble interpersonal social interaction, but is not usually applied to political communication. This study tested whether the ""Drinking-Buddy"" Scale, a simple question frequently used in political communication, could be interpreted as a single-item measure of para-social behavior with respect to political candidates in terms of image judgments related to interpersonal attraction and perceived similarity to self. The participants were college students who had voted in the 2008 election. They rated the candidates, Obama or McCain, as drinking buddies and then rated the candidates' perceived similarity to themselves in attitude and background, and also the social and task attraction to the candidate. If the drinking-buddy rating serves as a proxy measure for para-social behavior, then it was expected that participants' ratings for all four kinds of similarity to and attraction toward a candidate would be higher for the candidate they chose as a drinking buddy. The directional hypotheses were supported for interpersonal attraction, but not for perceived similarity. These results indicate that the drinking-buddy scale predicts ratings of interpersonal attraction, while voters may view perceived similarity as an important but not essential factor in their candidate preference.","The ""drinking-buddy"" scale as a measure of para-social behavior.",0.5
67,935,"Carrying food to water and either dunking or manipulating it before consumption has been observed in various taxa including birds, racoons and primates. Some animals seem to be simply moistening their food. However, true washing aims to remove unpleasant surface substrates such as grit and sand and requires a distinction between items that do and do not need cleaning as well as deliberate transportation of food to a water source. We provide the first evidence for food washing in suids, based on an incidental observation with follow-up experiments on European wild boar (Sus scrofa) kept at Basel Zoo, Switzerland. Here, all adult pigs and some juveniles of a newly formed group carried apple halves soiled with sand to the edge of a creek running through their enclosure where they put the fruits in the water and pushed them to and fro with their snouts before eating. Clean apple halves were never washed. This indicates that pigs can discriminate between soiled and unsoiled foods and that they are able to delay gratification for long enough to transport and wash the items. However, we were unable to ascertain to which degree individual and/or social learning brought this behaviour about.",Not eating like a pig: European wild boar wash their food,0.75
68,952,"This article outlines the role of accounting information in circus in Australia in the approximate period 1847—1963. Responding to the call for an increased historical narrative in accounting, we have studied the literature, documentation and personal memoirs concerning circus in Australia. From our examination, we have abstracted and analysed material that expresses, or implies, the use of accounting information. Themes identified include the magnitude and nature of capital investments; ticket pricing and revenues; the nature and composition of operational costs; standards of internal control; insolvencies and liquidations. We have established that, despite elementary levels of education, many circus people exhibited an intuitive grasp of fundamental accounting principles, albeit in a rudimentary form. Nevertheless, since financial and management reporting practises were typically unsystematic, and even non-existent, in all but the largest circus enterprises, Australian circus management may not have been optimized.",Juggling the Books: The Use of Accounting Information in Circus in Australia,0.5
69,954,"The healthcare performance measurement landscape continues to evolve. Despite questions about the value of performance data, healthcare organizations are being challenged to meet the data demands of a growing number of mandatory and voluntary measurement projects. Standardization of measure specifications and definitions is months (if not years) away. For healthcare organizations, the measurement ""monster"" may seem impossible to tame. Although the measurement capabilities of healthcare organizations are being stretched, there are some solutions. First, senior executives must be actively involved in promoting a meaningful measurement system that is compatible with the organization's quality goals and meets regulatory, purchaser, and accreditation requirements. Next, efficiency improvements in the way of systemwide collaboration and expanded information technology support can help reduce the administrative burdens. There is no denying that the focus on measurement has advanced the quality of patient care. Healthcare organizations must create the systems necessary to sustain these gains and move forward toward ever better patient care.",Taming the measurement monster,0.25
70,963,"The amount of heat gained by a Bedouin exposed to desert heat is the same whether he or she wears a black robe or a white one. The additional heat absorbed by the black robe is lost before it reaches the skin and drives convection under the black robe, making it more comfortable than a white robe.",Why Do Bedouins Wear Black Robes in Hot Deserts?,-0.75
71,991,"Given disjoint sets PI, P2 ..... Pd in R a with n points in total, a ham sandwich cut is a hyperplane that simultaneously bisects the Pi. We present algorithms for finding ham-sandwich cuts in every dimension d > 1. When d = 2, the algorithm is optimal, having complexity O(n). For dimension d > 2, the bound on the running time is proportional to the worst-case time needed for constructing a level in an arrangement of n hyperplanes in dimension d - 1. This, in turn, is related to the number of k-sets in R d- ~. With the current estimates, we get complexity close to O(n 3/2) for d = 3, roughly O(n s/3) for d = 4, and O(n d- 1 -atd~) for some a(d) > 0 (going to zero as d increases) for larger d. We also give a linear-time algorithm for ham-sandwich cuts in R 3 when the three sets are suitably separated. roughlyO(n 8/3) ford=4, andO(n d−1−a(d)) for somea(d)>0 (going to zero asd increases) for largerd. We also give a linear-time algorithm for ham-sandwich cuts inR 3 when the three sets are suitably separated.",Algorithms for Ham-Sandwich Cuts,0.0
